Unnamed: 0,message,Direct Harassment,Hate Speech,Sexual Harassment,Trolling,Others,Toxic
140,Biden won't be alive in 8 lol,1.0,,,,,
141,"Biden is the Tinpot Manchurian candidate. he represents nothing, he is a Chinese asset.",1.0,1.0,,,,
142,"💙AS LONG AS TRUMP LOST, IM HAPPY! TUCSON ARIZONA FOR PRESIDENT BIDEN 2020💙",,,,,,
143,Biden for lifetime behind bars because there’s no way in hell he got 80 million legit votes,,,,,,
144,to the,,,,,,
145,corruption,,,,,,
146,Yesssir,,,,,,
147,Jesus Christ is the only saviour and chose Trump to lead this nation and that exactly what is going to happen.,,,,,,
148,fools,1.0,,,,,
149,Biden dog will take care of him within a year,1.0,,,1.0,,
150,@JerryJames never trust a person with two first names.,,,,,,
151,DEMOCRACY WINS,,,,,,
152,they marking are comments? that's how you know they lying,1.0,,,,,
153,John McCain is smiling,,,,,,
154,Treason =Tribunals!,,,,,,
155,I SMELL THE SMOKE ALREADY,,,,,,
156,You can't do that,,,,,,
157,vote against this fraudulent election. it has been made clear that the vote was not safe.,,,,,,
158,"so, move that we lost Giuliani for you",,,,,,
159,These guys are insane,,,,,,
160,GO BIDEN 💙💙💙,,,,,,
161,✨ YALL HATE TO SEE IT ✨,,,,,,
162,"meanwhile, Giuliani presents his case.",,,,,,
163,Trump 2020!!! 4 more years!,,,,,,
164,Trump,,,,,,
165,Knowing it happened is different from being able to prove it.,,,,,,
166,✝️GOD BLESS PRESIDENT BIDEN✝️ TRUMP VOTERS REPENT SAVE YOUR SOULS,,,,,,
167,I inb,,,,,,
168,"Trump won, even the Libs know it",,,,,,
169,​​✝️TRUMP IS LORD✝,,,,,,
170,Banana Republic.,,,,,,
171,YES!!!!!! WE TOOK RED ARIZONA FROM THE GOP.. you guys trashed Arizonas hero John McCain! you wanna know about respect... tell your orange con man to learn it and learn it well. hahahahahhahahahaha,1.0,,,1.0,,
172,certifying your way to prison,1.0,,,,,
173,bananarepublic?,,,,,,
174,here starts the civil world war. be prepared for china to take over😥,,1.0,,1.0,,
175,corruption,,,,,,
176,who is this commie ?,,1.0,,,,
177,Biden said he would NOT serve 2 terms!!!,,,,,,
178,trump nver got 74 million votes he told them to vot twice he only got 40 million,,,,,,
179,BIDEN 2020,,,,,,
180,You came out Patrice...and your kid,,,,,,
181,✨100% free and fair election and everyone knows it ✨,,,,,,
182,USING SHARPIE!!!!,,,,,,
183,your al going to pay more taxes!!🤑,,,,,,
184,80 million People hats Trump 😃,,,,,,
185,Trump 2020,,,,,,
186,Were the votes audited? Recount is meaningless.,,,,,,
187,time for dems to strip America,,1.0,,,,
188,liberals turned this chat into toilet as usual,,1.0,,1.0,,
189,four Fraudsters,,,,,,
190,MAGAT meltdown in progress,1.0,,,,,
191,"Welcome to the USSA, you people will get what u asked for........",,,,,,
192,All of these goons bought and paid for!!!!,1.0,,,,,
193,Jail the con right,,1.0,,,,
194,More taxes for everyone to live better? Ok,,,,,,
195,I hope they count all the votes this time.,,,,,,
196,Traitors should be hung for treason.,1.0,,,,1.0,1.0
197,Yes let’s vote in Biden to hike up taxes and really drive home socialism by sending our companies offshore again,,,,,,
198,💙PRESIDENT BIDEN 2020!💙,,,,,,
199,trump 2020 it was stolen. wake up,,,,,,
200,never trust fox again,,,,,,
201,bonjour il ce passe quoi ??,,,,,,
202,We will not forgive this,,,,,,
203,China 2020,,,,,,
204,The only thing that fights harder than President Trump is a child taking a picture with Joe Biden,,,,1.0,,
205,Ducey is a sellout,,,,,,
206,80 million people love Trump! Trump will be president again come January. Kelly will be proven to have lost.,,,,,,
207,"Do people not see how crooked , corrupt the Democrats really are???",,1.0,,,,
208,No!!!!!,,,,,,
209,PAID OFF MFERS,1.0,,,1.0,,1.0
210,What’s the point of counting votes even if biden won????? :dothefive::dothefive::dothefive:,,,,,,
211,Certification means nothing once this goes to SCOTUS,,,,,,
212,go biden,,,,,,
213,Trump 2020 and beyond,,,,,,
214,"I'm korean, in april 15, 2020, Rigged election was occurred in south Korea, same as USA. now Right to vote is dismised on earth. 😭😭😭😭😭",,,,,,
215,Wow those people need to be changed with treason,,,,,,
216,Traitors should be hung in the gallows,1.0,,,,1.0,1.0
217,I see dead people everywhere 🤣🤣🤣🤣,,,,,,
218,y'all still listening to them or believing anything they say you don't have any common sense or think for self,1.0,,,,,
219,stimulus = Socialist,,1.0,,,,
220,*I LOVE ALL THE TEARS HERE!!*,,,,,,
221,I wonder if that was the same sharpie on the fake ballots,,,,,,
222,3... 2.... 1...... TRUMP SUPPORTERS FREAKING OUT!!!!!!,,,,,,
223,Why are people saying trump might go to jail?,,,,,,
224,Oh look they put a sticker on it morons,,,,,,
225,"THANK YOU ARIZONA FOR NOT DISENFRANCHISING THE BLACK, LATINO AND ASIAN VOTES💯",,,,,,
226,PRESIDENT BIDEN!!!! HHAHA,,,,,,
227,"hellloooo? the USA people , take back your dignity, recall democrat governors , remove corrupted officials . police should not kneel in front of criminals but exterminate them! USA is LAW and ORDER!",,,,,,
228,This will go to the supreme Court. The traitors will be hanged.,,,,,1.0,
229,Anyway.. let s go to Supreme court. God is being with USA.,,,,,,
230,hahaha this is at the same time as the Arizona election itegraty hearing.. WAKE UP go watch that at NTD,,,,,,
231,MAFIA CORRUPT BIDEN!,,,,1.0,,
232,BIDEN = Big Irregularities During Elections Night,,,,1.0,,
233,VOTE FOR TRUMP IN GEORGIA SENATE RUN OFF 2020,,,,,,
234,COUNT EVERY ILLEGAL VOTE!!!,,,,,,
235,look at this dude,,,,,,
236,dont get heart attacks Trump fanboys :),1.0,,,,,
237,"I can’t take these Librals, we won",1.0,,,,,
238,"not the same hearing on ntd channel, Guiuliani is speaking...",,,,,,
239,"I thought FOX NEWS was totally out it, ohh let me guess I believe they now realize that things are turning quickly we will never forgive what you guys did on election night",,,,,,
240,if people really understood what was going on in the courts right now they would see that this certification is meaningless. the only meaningful certification is when Congress certifies the electors,,,,,,
241,Good thing they will overturn it,,,,,,
242,"at the ages of 74, Trump lose big, Trump can't turn the clock back.",,,,,,
243,BEIJING JOE BIDEN *LOST* THIS ELECTION!!,,,,,,
244,✨ 100% Free and Fair election and everyone knows it ✨,,,,,,
245,civil war we need to fight for our country or it will become communist 😡😡😡😡,,1.0,,,,
246,No more freedom after you realize you were never free for decades. All rigged for decades,,,,,,
247,✝️TRUMP THE DEVIL INCARNATE IS DONE✝️,1.0,1.0,,,,1.0
248,I am not hearing they are overturning anything!,,,,,,
249,AZ Secretary OF State and the Attorney etc . Just committed perjured themselves.,,,,,,
250,Beijing Joe will sell the USA,,,,1.0,,
251,MAGAT meldown inprogress,1.0,,,,,
252,pack your bags because you're heading to prison,1.0,,,,,
253,Look at the traitors.,1.0,,,,,
254,why do lefties want communism? makes no sense to me🤷‍♂️,,1.0,,,,
255,Treason may you pay dearly,,,,,,
256,democracy is in progress,,,,,,
257,TRUMPS CRYING 😭 😭😭,1.0,,,,,
258,BIDEN 2020,,,,,,
259,GA IS BLUEEEEEEEEEEEEE. WE ARE COMING IN RECORD NUMBERS IN THE RUNOFF!!!! PRESIDENT BIDEN WILL HAVE HIS AGENDA MOVED FORWARD WITHOUT OBSTRUCTION!!! DC AND PUERTO RICO STATEHOOD!!!! CRY CHUMPS 😆 😆,1.0,,,1.0,,
260,SMF has it right 👍,,,,,,
261,Lol. Trump supporters do not cry!! We fight;),,,,,,
262,💙PIMA COUNTY FOR PRESIDENT BIDEN AND senator Mark Kelly!💙,,,,,,
263,How do you certify a rigged process?! 😡,,,,,,
264,"The only people that don’t want to disclose the truth, are people with something to hide.”. Barack H Obama",,,,,,
265,I LOVE MAGA TEARS,1.0,,,,,
266,Biden won’t spend one day in office!!,,1.0,,1.0,,
267,president Biden,,,,,,
268,"once they sign, they become traitors",,1.0,,1.0,,
269,Fox showing total BS,1.0,1.0,,,,
270,Yeah sign your life away traitors,1.0,,,,,
271,"we need another civil war, NOW!!!!!!!!!!",,,,,1.0,
272,perjury with a touch of treason,,,,,,
273,Boogalooooo,,,,,,
274,The one lady sounds like a bratty teen girl,1.0,1.0,,,,
275,Freaking frauds,1.0,,,,,
276,"this is a sham, I don't think it's legal, they can't do this while hearings are going on. Gonna get their asses reamed for this.",,,,,,
277,What did he just sign?,,,,,,
278,This is the greatest crime in Arizona history,,,,,,
279,I dont understand the hate for Trump supporters,,,,,,
280,Biden the Devil's spoil,,,,,,1.0
281,is this live right now?,,,,,,
282,Broadcast Arizona hearing now,,,,,,
283,I bet that signature is verified,,,,,,
284,The swamp rats are exposing themselves. Let em,1.0,,,,,1.0
285,Tree of LlBERTY......parched,,,,,,
286,he don't read documents!,,,,,,
287,It will be overturned 🤣,,,,,,
288,"They are certifying based on legal proof, evidence, court rulings, and election results. They don't operate on ""Alternative facts""",,,,,,
289,They are team of the darkness...,,,,,,
290,"OMG, I could not believe my eyes, r u guys bind? there r thousands az people outside of hearing? do u know it? why u want 2 do it 2 ingor people's thought? we r people and we want 2 real and fair elec",,,,,,
291,#DiaperDon TRUMP #DiaperDon,1.0,,,,,1.0
292,check out NTD on youtube its the Arizona election hearing! TRUMP2020:elbowcough:,,,,,,
293,"Biden will lock us down , stop American manufacturing, SHUT down small buisness and let China Dictate us And Raise EVERYONE'S Taxes! good job Biden Voters ‼️",,,,1.0,,
294,right side broadcast ... fox is fake news and these ppl are puppets,1.0,1.0,,,,
295,T SMOKE👍🏻👍🏻👍🏻,,,,,,
296,"BLM will rule the streets, statues will be torn down, the country will change forever.",1.0,,,1.0,,
297,This is all for show. They all know that this will be reversed,,,,,,
298,they all rose from their graves to vote,,,,1.0,,
299,I don’t get how can safe us for this?,,,,,,
300,"boycott the georgia runoffs, time we OUT these RINOS",,,,,,
301,✨ 100% free and fair election everyone knows it ✨,,,,,,
302,no more liberty for America thats sad... 🙄,,,,,,
303,he just signed his divorce papers 😂😂😂😂,,,,,,
304,Justice is coming,,,,,,
305,"Cujo Biden will never be my president ""NEVER""",,,,,,
306,I do understand the hate for libtarts 😭,,,,,,
307,This smells like Treason and Firing Squad.,,,,,,
308,KEEP AMERICA GREAT,,,,,,
309,Hola,,,,,,
310,fote fore bidden more taxes!!! he needs your monney! 😂🤣,,,,1.0,,
311,lol who's crying? you guys love to project because the crazies on your side melt down often and go viral..,1.0,,,,,
312,the Giuliani clown show doesn't mean anything lol,1.0,,,,,
313,them signing this right now is a federal felony,,,,1.0,,
314,maga sad babies,1.0,,,,,
315,"80 million did not vote trump. your wrong he lost get over it,",,,,,,
316,✝️GOD BLESS PRESIDENT BIDEN AND ALL REAL AMERICANS WHO SUPPORTED HIM✝️,,,,,,
317,SIGNING YOUR NAME TO TREASON,,,,,,
318,This is a lot of fun - watching idiots sign a bunch of papers! Get to it already!,1.0,,,,,
319,Let Biden take over and get ready to pay taxes,,,,1.0,,
320,what is he signing,,,,,,
321,And his is how freedom falls.,1.0,,,,,
322,some good ASMR,,,,,,
323,obvious rush to circumvent information that's coming in,,,,1.0,,
324,How come dead people never vote republican?,,1.0,,,,
325,I hope all conspiring to cheat this election are all held accountable for there actions!!!,,,,,,
326,TREASON!!!,,,,1.0,,
327,MAGAT meltdown in progress,1.0,,,,,
328,😆 TRUMP LOST 😆,,,,,,
329,Shadows of hand puppets...,,,,,,
330,Take down ya MAGA signs. It’s over,,,,,,
331,What’s going on?,,,,,,
332,Biden hurt himself playing with his dog!! What a loser,1.0,,,,,
333,THEY ARE HAPPY YO SHOW WHAT IS GOING ON NOW! OH YES!,,,,,,
334,none of it matters all they want is controll over your lives and money suffering is what they thrive off maga President TRUMP WILL RETURN,,,,,,
335,Its waste of paper and ink everything will be blown away from the supreme court 😄😉,,,,,,
336,All,,,,,,
337,So I’m not putting my life on hold but seriously never voting democrat again so have fun with your taxes going up and your rights taken from you,,,,,,
338,late t the party whats going on?,,,,,,
339,BYE BYE MAGA HELLO BLM,1.0,,,,,
340,Trump 2020,,,,,,
341,are you trump supporters serious? where is the p roof?? lol,,,,,,
342,There will be civil war,,,,,,
343,Let the second civil war begin,,,,1.0,1.0,
344,so is she certifying it while there is a hearing going on?,,,,,,
345,to those of you okay with winning by cheating remember next election It could be you.,,,,1.0,,
346,She looks like a giant lib with that mask on. Of course she’ll certify for Biden. Enjoy prison when you lose your lawsuit Katie,1.0,1.0,,,,
347,"I love how liberals think MAGA people ""cry"". lol I suppose if you expect how you'd act, then that'd be the result. Except they're not sissies and crybabies. They're working adults.",,,,,,
348,They need to HURRY apparently! So OBVIOUS,,,,,,
349,This is MAGA Country!,,,,,,
350,Thanks a lot Arizona.,,,,,,
351,trump 1717 😂😂😂,,,,,,
352,"When they say “break a leg”, it is not to be taken literally, Biden",,,,,,
353,!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! START BUILDING CELLS NOW. !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,,,,1.0,,
354,l PRAY GOD WILL DIRECT TRUMP TO SOME TRUE GOD FEARING CHRISTIAN LEADERS. HE WAS MISS DIRECTED. HE NEEDS TO BE DELIVERED AND RECEIVED JESUS CHRIST AS HIS SAVIOR. ❤✌🙏,,,,,,
355,140137 people watching Arizona hearing on NTD,,,,,,
356,CV 1984......HOAX,,,,,,
357,The government is just doing what their told. And someone answer the phone!!!!,,,,,,
358,He looks scared,,,,,,
359,Fk BLM,1.0,,,,,1.0
360,boogaloo brothers actually started the summer blm riots,,,,1.0,,
361,"Someone’s phone is buzzing, must be the electoral college to give trump the election.",,,,,,
362,hes crying 😒,1.0,,,,,
363,This is Biden Country!!!!,,,,,,
364,Hes scared he knows its wrong,,,,,,
365,"I dont ""HATE"" the corruptocrats...I do hope they get caught no matter what side of the aisle they ste on",,,,,,
366,So Rudy is challenging this right now,,,,,,
367,stay mad MAGA folks,,,,,,
368,"CNN is so bad, all their liberals came to FOX, lol!",,1.0,,,,
369,"@sunnysky88 146,000 on NTD also",,,,,,
370,Glad to see that Republican Governor and elected officials are handling their governmental authority without being pressured to illegally subvert the will of the people who voted for Biden,,,,,,
371,superpresidentBIDENHARRIS2020,,,,,,
372,no no no there is a hearing RIGHT NOW,,,,,,
373,oh God Biden president hide your children,1.0,,,,,
374,The only missing in Action is Trump's Bone Spurs hiding from the war while others fought for him. Thats Missing in Action!,,,,,,
375,What’s the rush!,,,,,,
376,Why the hell is she wearing a tee shirt?,1.0,,,,,
377,Donald Trump's multiple court cases only resulted in re-enforcing and confirming strongly the election of Joe Biden.,,,,,,
378,"boycott the georgia runoffs, time we OUT these RINOS",,,,,,
