,author,message,time_text,Direct Harassment,Hate Speech,Sexual Harassment,Trolling,Others,Toxic
217,username@ MHH H   H,❤️MEJOR PRESIDENTE DEL MUNDO TE AMAMOS TRUMP GRACIAS❤️ BEST PRESIDENT EVER ❤️ WE LOVE YOU ❤️,9:47,,,,,,
218,username@danlalyCne,trump 2020,9:47,,,,,,
219,username@netVVnmt i,Lots of ❤️❤️❤️❤️ from TX,9:52,,,,,,
220,username@ElONalINEa,why is the camera shaking??🤣🤣👏👏👏👏,9:56,,,,,,
221,username@LopetLp tL,We love you President Trump,9:57,,,,,,
222,username@hGrheeaCrn,"Thank you for the last 4 years. You riled their feathers sir and for that, we thank you!",10:04,,,,,,
223,username@nii LiuMmi,Trump!❤️❤️❤️❤️❤️,10:07,,,,,,
224,username@aJCtCooaoa,Where is The Kraken Powell?,10:07,,,,,,
225,username@nnbjaabo a,European people crave for the leaders like this! So unfortunate that Americans are so divided for that matter.,10:07,,,,,,
226,username@nt DhAtnny,2 term sleepy Joe got nothing done in 47 years,10:16,,,,,,
227,username@uuK eeuKeD,President Trump will always be my president.,10:16,,,,,,
228,username@epMaazakeo,"Trump should also pardon himself, together with the turkeys...",10:17,1,,,,,
229,username@h37338h183,Oh corn and cob? Did I hear right? Harvest time,10:19,,,,,,
230,username@b ehnlky e,👨‍👩‍👧💂‍♂️🥇💂‍♀️👨‍👩‍👧,10:19,,,,,,
231,username@ a WooEayW,❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️Trump2020!,10:19,,,,,,
232,username@ evNRneeNe,Trump 2020 👍,10:20,,,,,,
233,username@nJng F eni,Pennsylvania loves Trump! ❤,10:21,,,,,,
234,username@llnaaaalka,"LOVE YOU, PRESIDENT TRUMP!",10:22,,,,,,
235,username@ynlrGneuuu,Gabblerz! Hahahahahahahahaha,10:22,,,,,,
236,username@rsegrererT,God Bless America. Trump rocks!!!,10:23,,,,,,
237,username@ibb0hittTb,I thought he said Cornpop,10:23,,,,,,
238,username@rMaMaonany,I thought he was going to say Corn and Pop,10:26,,,,,,
239,username@sAdsnSsetr,❤️❤️❤️,10:28,,,,,,
240,username@goeGoereGe,One and Done,10:29,,,,,,
241,username@ooeeoobooe,BIDEN WHO ???,10:32,,,,,,
242,username@0ammnam00o,(BLM) Biden’s Laptop Matters,10:33,,,,1,,
243,username@ moeBd msm,"Trump, you must win!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!",10:35,,,,,,
244,username@nan lenaGn,ISRAEL FOR TRUMP❤🌹🌹,10:37,,,,,,
245,username@o opyol Sn,Bye Turkey,10:39,,,,,,
246,username@6owwl66wlw,Lol,10:39,,,,,,
247,username@fCdClrntck,"Great performer, terrible president. The turkey would have done less damage",10:41,,,,,,
248,username@rimcifryaf,if only he could pardon himself,10:44,,,,,,
249,username@icMdl cdlw,Trump you're a DICTATOR and American people hate BULLIES and DICRTATORS. That's why you have lost.,10:49,1,,,,,
250,username@eGmmjsssom,"The Trump Family is a joke.... Funny, the Turkey talks, and Gobbles. 👉Pardon the Country👈 👉Pardon the Turkey👈. Pardon Trump, Pardon Me. Gobble, Gobble, Gobble, Gobble. Pardon The Stock Market.",10:49,1,,,1,,
251,username@o CoashSfa,yay Iowa turkey! perfect names,10:50,,,,,,
252,username@ ooegDTeDg,Let that Turkey live!,10:52,,,,,,
253,username@ omFeirat,we America we,10:53,,,,,,
254,username@tthtuohoeh,We all know Trump won and the election was stolen by crooks in 4 cities,10:53,,,,,,
255,username@maffmfdd r,LOCK FIDEN FOR F CHEATING,10:57,1,,,,,1
256,username@oabt roatt,ILLUMINATI,10:58,,,,,,
257,username@enan atran,"man, woman, person, camera, t.v., corn and cob....it's amazing",10:58,,,,,,
258,username@rrMLMeeMMM,The turkey was part of the deep state,10:59,,,,,,
259,username@ littotnt,American first. Grow up people.,11:08,,,,,,
260,username@y20o220000,"trump 2020 only, Biden 2021 & beyond!!!",11:08,,,,,,
261,username@aJeJKmemea,"Thank you, Our President Trump. Thank you for having the strength, determination, and faith in our Mighty Lord to continue to protect our great America!!!Amen",11:10,,,,,,
262,username@sPoo1orp51,Lol,11:14,,,,,,
263,username@lgsmem1ils,:yt::yt::yt:,11:15,,,,,,
264,username@BtthncnahB,I love seeing trump happy in this bad time,11:17,,,,,,
265,username@cLcrLeeLce,I smell COVID of his breath,11:17,1,,,,,
266,username@FF NFNF FN,We love our Awesome President Trump and 1st lady Melania Trump!! God bless USA,11:18,,,,,,
267,username@ihCirNCrei,"There is no such thing as the ""Office of the President Elect"" so ridiculous! They just make sh*t up! For being in office 47 yrs Joe Biden isn't very smart.",11:19,,1,,,,
268,username@ey a ey en,A TREMENDOUS university,11:20,,,,,,
269,username@mtume ttts,You got this Trump!,11:23,,,,,,
270,username@eel enednE,"Trump didn’t lost, Joe stole the election with the help of deep state",11:23,,,,1,,
271,username@iareanailS,Happy Thanksgiving!,11:24,,,,,,
272,username@usaycRsRsc,Corn and Cobb are true American patriots!,11:24,,,,,,
273,username@ly lsereyt,Trump lost,11:25,,,,,,
274,username@lnHllHhlll,The turkeys name is corn pop,11:25,,,,,,
275,username@nalrrav a,Bone Spurs,11:27,,,,,,
276,username@eiiihi eeW,God Bless Our Nation. Let Pea2ce Reign!,11:27,,,,,,
277,username@oTKnoKntmm,PARDON YOURSELF DON. HERE'S YOUR CHANCE,11:27,,,,,,
278,username@neatllMtMM,GOD BLESS DONALD TRUMP!!! THE BEST PRESIDENT EVER.,11:29,,,,,,
279,username@nnnn naaaa,We love you.Mr.President!!! Lets make TRUMP PARTY !!!!,11:29,,,,,,
280,username@hr33esr3ei,This guy sucks!,11:31,1,,,,,
281,username@rCMM C lC,❤❤❤German patriots for Trump❤❤❤ Happy holidays,11:31,,,,,,
282,username@xuuxu iL r,Corn and Cob aren't the only ones retireing.,11:32,,,,,,
283,username@aanManna M,He is reading fast 😂,11:36,,,,,,
284,username@FruVeyrrwV,WWG1WGA,11:37,,,,,,
285,username@CkoCk C C,Biden is a Cenile old man,11:37,1,,,,,
286,username@k Klul drA,bizimi söyluyorlar,11:40,,,,,,
287,username@eeoDeneaal,TRUMP🙌🙌🙌,11:43,,,,,,
288,username@aenBtyiBiy,Most of America is starving right now cause of you .,11:43,,,,1,,
289,username@ Dsaaldese,I feel bad for him he look sick😔,11:45,,,,,,
290,username@snn  ondns,Trump won,11:48,,,,,,
291,username@ePtvVotei,Thencs mai veri President,11:49,,,,,,
292,username@BE. KK DDU,"CORN and COB - Anyone think Trump is TROLLING Biden's ""CORN POP"" story ??? 🤔😋",11:50,,,,,,
293,username@h kcleeikp,Lol you city slickers they don’t feed on your grocery shelf like you think they do! Corn pop!,11:53,1,1,,,,
294,username@ Dn UEUEUn,someone fire the volume guy. it's either to low or making my ears bleed,12:00,,,,,,
295,username@WeNN gaaia,I too wonder why he is talking so quickly...,12:00,,,,,,
296,username@bbooeeblrb,TRUMP,12:02,,,,,,
297,username@ ynid  d n,Joe the liar Trump the triumph.,12:04,,,,,,
298,username@sl KKirrso,4 More Years,12:05,,,,,,
299,username@ m Ki K mK,"BIDEN WIN is WIN for CHINA. Congrats everyone, YOU GOT WHAT YOU WANTED!!! Let's see how long he lasts...I give him 4 months before pushed aside!",12:05,,,,1,,
300,username@h3cscohhcp,gonna miss him. not looking forward to Bidet...,12:07,,,,,,1
301,username@egeegegeig,TRUMP 2020,12:07,,,,,,
302,username@Ptta iPiiP,Thankfully God heard our prayers BIDEN🥶🥶,12:09,,,,,,
303,username@ dnRSndySS,IMPEACH BIDEN,12:12,,,,,,
304,username@Rer rrRtRb,Did the Turkey have a postal vote for Biden?,12:14,,,,,,
305,username@tcMKcMKltK,TRUMP!,12:15,,,,,,
306,username@  oiiJ ik,"Benjamin Franklin once said: ""Those who would give up essential Liberty, to purchase a little temporary Safety, deserve neitherLiberty nor Safety.""",12:16,,,,,,
307,username@D neaaDaaa,"You are our duly elected , President. We love you, Mr. President and your love for our nation and her people!",12:17,,,,,,
308,username@MOOOT JUSR,I can’t watch because I might cry like a lil b,12:18,1,,,,,
309,username@oamo IImom,Get ready for round up!!!,12:18,,,,,,
310,username@ersiotvvFu,war,12:18,,,,,,
311,username@aJCtCooaoa,Sweet MAGA tears,12:19,,,,,,
312,username@eogioiretr,You are the best President in many years. You exposed the swamp. COME BACK,12:21,,,,,,
313,username@ynlrGneuuu,Biden will wreck USA!! Hahahahahahaa All you Biden voters y'all be crushed!!,12:22,,,,1,,
314,username@iPAraPrlP,WE LOVE YOU BIDEN,12:22,,,,,,
315,username@ddlFdFeFdl,GOD BLESS THE USA!!!!,12:23,,,,,,
316,username@epMaazakeo,Did he also pardon himself?,12:25,,,,,,
317,username@rMaMaonany,Trump2020,12:27,,,,,,
318,username@M lB uM u.,Trump out of breath. RIP. BIDEN WINS,12:27,,,,,,
319,username@nniuKl KK,plz stay in office for 4 more years we love u!,12:29,,,,,,
320,username@eolTT Te o,Best President ever! U.K loves you,12:29,,,,,,
321,username@arptnaoaia,Trump will be a Winner Forever. The Last American President.,12:30,,,,,,
322,username@tteReiRRrt,love you Mr Trump!,12:30,,,,,,
323,username@renGJe hse,BOOOOOOOOO PIECE OF CRAP fox news!!!! carrie this live but not a news conference,12:30,,,,,,
