,time_text,message,author,Direct Harassment,Hate Speech,Sexual Harassment,Trolling,Others,Toxic
93,6:39,i havent heard of him in years,username@EEeEEaEalp,,,,,,
94,6:39,It is not lazar I was on his stream,username@t  Johataa,,,,,,
95,6:40,takes the fun away,username@894mmaaoeo,,,,,,
96,6:42,i sub because you got top link on a vanoss video,username@tttmaaataa,,,,,,
97,6:42,hi brian,username@aaa  e kna,,,,,,
98,6:42,Woah closing in on 1k members. Let’s get it,username@lBKgiKzKBi,,,,,,
99,6:46,How long have y’all been playing,username@GbouuGGbbb,,,,,,
100,6:47,guys like the video,username@cu2acccu2a,,,,,,
101,6:48,yay stream,username@taCMaattC ,,,,,,
102,6:49,Monday,username@o2oooslo o,,,,,,
103,6:49,Hey MonkeyMan,username@iggsGesLaL,,,,,,
104,6:52,How you been Brian ?,username@nr raaMoao,,,,,,
105,6:54,Sorry cod mw making me act up lol,username@6JJ644674J,,,,,,
106,6:58,Turn off the chat then!,username@kaRyekkLRL,,,,,,
107,7:00,heyo,username@894mmaaoeo,,,,,,
108,7:01,hi terroriser,username@dFyadee ay,,,,,,
109,7:02,yea fr dont spoil/snitch \,username@St  t tikS,,,,,,
110,7:15,100th like,username@eJnanMeeer,,,,,,
111,7:33,i gues that happens,username@iggsGesLaL,,,,,,
112,7:35,Briaaaannnn,username@rswppese-l,,,,,,
113,7:38,Brian I am sorry I am very tired! Love you man keep up the good work! also helping us all keep our happy during this pandemic.,username@OSOO 332S2,,,,,,
114,7:39,Bro,username@  s sNCdUs,,,,,,
115,7:39,was on nogla's stream for a long time and figured id switch over cause i felt like it,username@894mmaaoeo,,,,,,
116,7:41,How you doing future Ted Crilly?,username@yy myymyRf,,,,,,
117,7:42,Skittles sky if you don’t want it spoiled turn the chat off!,username@kaRyekkLRL,,,,,,
118,7:47,Win this round,username@  s sNCdUs,,,,,,
119,7:56,Yo,username@SgnSgyngyY,,,,,,
120,7:59,Sup,username@ Vrdd VVaI,,,,,,
121,8:00,Hi,username@hhhaccTa c,,,,,,
122,8:00,Hey Brian,username@roeercrN o,,,,,,
123,8:02,First,username@ttNaaaNgnn,,,,,,
124,8:03,Sup,username@BBDSBYBDOD,,,,,,
125,8:03,Hello,username@hniLukAAci,,,,,,
126,8:05,Hi,username@BrBnhonnna,,,,,,
127,8:05,Meanie head,username@eeeZCdoree,,,,,,
128,8:06,#believeinvanoss,username@eJnanMeeer,,,,,,
129,8:07,Hi,username@usueMeMuMs,,,,,,
130,8:07,Hi,username@11_D_i 1De,,,,,,
131,8:07,yo,username@nywndya s ,,,,,,
132,8:08,It’s nogla,username@  s sNCdUs,,,,,,
133,8:08,Oh no Brian died,username@0ci2ieC7el,,,,,,
134,8:08,"MonkeyMan, i didnt know you were a memer of Terroriser too",username@iggsGesLaL,,,,,,
135,8:08,suddenly my day just got better,username@gpesd repg,,,,,,
136,8:09,Sup,username@NSLSSLSLNN,,,,,,
137,8:09,yo,username@NllNoNoeNo,,,,,,
138,8:10,hewos,username@kiuuuuGGui,,,,,,
139,8:11,PAPA,username@nneineroer,,,,,,
140,8:11,I think it’s black I’m not sure tho,username@hecehclMeb,,,,,,
141,8:12,What up,username@ OLlt lltO,,,,,,
142,8:13,Ahoy,username@_SXAPG_APG,,,,,,
143,8:14,hey terrorizer,username@ Ka1K21mm ,,,,,,
144,8:15,yo,username@eoaao irrr,,,,,,
145,8:15,HI!,username@man  lheha,,,,,,
146,8:15,Hi,username@er iX regv,,,,,,
147,8:15,hi brian!!,username@ziriiaiazz,,,,,,
148,8:15,What’s good,username@CsrlrgiDee,,,,,,
149,8:15,Suh Brian,username@0ci2ieC7el,,,,,,
150,8:16,Hi,username@2o1gel2hoo,,,,,,
151,8:16,ion really look at chat soo- im jus sayin its not fun or cool for others,username@St  t tikS,,,,,,
152,8:17,Hi,username@rxitddPri ,,,,,,
153,8:17,hey im here before the notifications,username@Puuiurcamr,,,,,,
154,8:17,yoooooooooo,username@MMrelyrirM,,,,,,
155,8:17,Yo yo,username@RnttLneela,,,,,,
156,8:18,Hello,username@aam 2m60n0,,,,,,
157,8:18,Hey Brian,username@erieeLVLia,,,,,,
158,8:19,Yooooo what’s good,username@ee0o5oo_0j,,,,,,
159,8:19,hi brian,username@hShh_ehww_,,,,,,
160,8:19,hi,username@ihrEkEkEVi,,,,,,
161,8:20,hey dad,username@TXVi TVRNR,,,,,,
162,8:21,brian,username@GGe liGebs,,,,,,
163,8:21,hi,username@lsmeptsuei,,,,,,
164,8:21,Hi I just joined,username@ ycaeLa yy,,,,,,
165,8:21,WAZZZZZZZZZZZZZZZZZZZZZZUP!,username@alnrzzzzGo,,,,,,
166,8:21,when the next mario stream,username@leliirkrie,,,,,,
167,8:21,Lol,username@i5ootarphr,,,,,,
168,8:22,um derilous has a kid give birth,username@ndromdapm ,,,,,,
169,8:23,Terroriser I wanna play,username@ylxal naee,,,,,,
170,8:23,brain please be best,username@Ye s eue t,,,,,,
171,8:23,Sup Mr. Hamby,username@irgiorouLg,,,,,,
172,8:23,hi,username@zloeezizqu,,,,,,
173,8:23,Hiiii,username@aiaainiaaa,,,,,,
174,8:24,hello,username@UWoRATUWol,,,,,,
175,8:24,😂,username@NSLSSLSLNN,,,,,,
176,8:24,Brian you’re standing on top of a dead body,username@de6d6ae2dd,,,,,,
177,8:24,Hello!,username@ss a Boeka,,,,,,
178,8:24,terrorizor died lol XD,username@Dne3nt3n3o,,,,,,
179,8:25,vanos,username@eriCaT ayi,,,,,,
180,8:25,finally CONTENT,username@jjejylokll,,,,,,
181,8:25,hi,username@lgaaeelgll,,,,,,
182,8:25,Hi,username@lBlBnBidnl,,,,,,
183,8:25,"Who will do the first dislike. It could be anyone in this room. It could be me, it could be you.",username@erPtossuoc,,,,,,
184,8:26,Yoooooo,username@Ng NP go o,,,,,,
185,8:27,loll,username@caloolacll,,,,,,
186,8:27,It’s vanoss,username@h nee e Ta,,,,,,
187,8:27,now,username@duuldlaVhr,,,,,,
188,8:27,Roses are red why does terrorizers alexa don’t know who he is,username@on krUkk  ,,,,,,
189,8:27,i want to play with you guysssss,username@hhkiG kssm,,,,,,
190,8:28,👋,username@ a fntnrrm,,,,,,
191,8:29,i disliked cus i was watching a video and i accidentally clicked this one lmao,username@uuseuj jnc,,,,,,
192,8:29,Brian hows the stream today,username@wtwewhscFe,,,,,,
193,8:30,"@Terroriser the notification just went off right now, and not to be a hater but guaranteed is spelled wrong, unless that’s on purpose 😂",username@ E* l*El*a,,,,,,
194,8:30,Hi,username@mflSyflgno,,,,,,
195,8:30,hello,username@E5E0bb0005,,,,,,
196,8:31,Sorry you died by the way would you like to hear the word of sell outs,username@HnecMrhH c,,,,,,
197,8:31,hi,username@Mrn.iGmrGr,,,,,,
198,8:31,Delirous is funny,username@i5ootarphr,,,,,,
199,8:31,Hey!,username@YvTnaTgnYY,,,,,,
200,8:32,what up,username@ otoyddyeT,,,,,,
201,8:32,Whazzup brian!,username@ndeenan ee,,,,,,
202,8:34,what up,username@daMMMMfdie,,,,,,
203,8:34,hi brian,username@SdzSzSdzSz,,,,,,
204,8:34,its nogla,username@agakkulsDg,,,,,,
205,8:34,started watching just as he died,username@msadvdvaaa,,,,,,
206,8:35,hope you’re having an amazing day brian 🥺🥺🥺,username@gpesd repg,,,,,,
207,8:35,holy crud Preston and his wife are playing??,username@jdee m jtr,,,,,,
208,8:35,BRAIN,username@NllNoNoeNo,,,,,,
209,8:35,BRIIIIIIIAN,username@_Lifi77fi_,,,,,,
210,8:36,hello!,username@MeM olHolo,,,,,,
211,8:36,Cyan kinda sus though,username@AA inAAnGo,,,,,,
212,8:37,I was just watching the cod among us vid,username@eiapiaeSpc,,,,,,
213,8:38,hey!!,username@ dnuaeautn,,,,,,
214,8:38,how is every one doin,username@zloeezizqu,,,,,,
215,8:38,hello,username@aArdzTaadr,,,,,,
216,8:38,baby boy Brien,username@haaretmeee,,,,,,
217,8:40,whats up brian,username@zvRzz_z  o,,,,,,
218,8:40,when Brian starts a steam but it isnt in the beggining,username@kiuuuuGGui,,,,,,
219,8:42,Hi Brian,username@roe ot rea,,,,,,
220,8:42,hmm idk Brian kinda sus,username@5 i775llss,,,,,,
221,8:43,Sjjs,username@iu nngcetc,,,,,,
222,8:44,Ello,username@ssMM3MiiMh,,,,,,
223,8:44,h20,username@m lmanaWmd,,,,,,
224,8:46,It's clearly terroriser,username@oetttnCoCx,,,,,,
225,8:46,My fav Irish man 😍,username@aiaxTyexRa,,,,,,
226,8:46,Bryan Target evan when your imposter,username@reurerrLLe,,,,,,
227,8:47,Lol Brodie is playing,username@lF kkalrre,,,,,,
228,8:47,I just dismiss btw,username@on krUkk  ,,,,,,
229,8:47,Hey,username@Eeennkneko,,,,,,
230,8:47,"love watching Brian's stream of among us, this is like the inverse of him playing Mario kart",username@oaoooaelsr,,,,,,
231,8:47,For us,username@ ya rSyfaf,,,,,,
232,8:47,Hello,username@Je snaaZcn,,,,,,
233,8:48,hey brian,username@SkkTSitkko,,,,,,
234,8:48,i just joined the stream and brain is already dead,username@onoleeeone,,,,,,
235,8:48,well*,username@894mmaaoeo,,,,,,
236,8:49,Hi my fav youtuber,username@usueMeMuMs,,,,,,
237,8:49,Hey mate,username@9900 09 9 ,,,,,,
238,8:49,I'll be back!!!,username@D AIGYEAIA,,,,,,
239,8:49,Would you like another world of sale,username@HnecMrhH c,,,,,,
240,8:51,Disliked,username@on krUkk  ,,,,,,
241,8:51,hes awesome,username@894mmaaoeo,,,,,,
242,8:52,brian,username@duuldlaVhr,,,,,,
243,8:52,What's up the king of dragons is here,username@ teregG nm,,,,,,
244,8:53,hi brian,username@軒葉葉軒軒葉昌軒葉昌,,,,,,
245,8:53,Ehhh how’s it going sirs,username@NyssoNoTsr,,,,,,
246,8:53,Yeet,username@Sa soSsohs,,,,,,
247,8:54,Who’s the sneaky Imposter?,username@_SXAPG_APG,,,,,,
248,8:54,Hi,username@ ycaeLa yy,,,,,,
249,8:54,"Future Ted Crilly, how you doing?",username@yy myymyRf,,,,,,
250,8:54,hi brian,username@ dnuaeautn,,,,,,
251,8:55,yo,username@CdnyyCnCnC,,,,,,
252,8:55,who killed you,username@b ooooyuyg,,,,,,
253,8:55,and funny,username@894mmaaoeo,,,,,,
254,8:56,Hi how are you,username@ZtlartalBl,,,,,,
255,8:56,If you had the chance would you smash Brian,username@BrBnhonnna,,,,,,
256,8:56,hiiii brian,username@ndnnGGawAn,,,,,,
257,8:56,Subbed,username@ nEEyEynsn,,,,,,
258,8:56,sup,username@ptnnnna.Ck,,,,,,
259,8:57,Hiiiii,username@oetttnCoCx,,,,,,
260,8:57,I’m disliking it trigger,username@on krUkk  ,,,,,,
261,8:57,I think it’s vanoss,username@h nee e Ta,,,,,,
262,8:58,hello,username@E5E0bb0005,,,,,,
263,8:58,Hi Brian,username@kbbfokntot,,,,,,
264,8:59,Hiya Brian,username@fo feddo B,,,,,,
265,9:00,poor brian dead already,username@lgaaeelgll,,,,,,
266,9:01,How u doing,username@Je snaaZcn,,,,,,
267,9:01,its nogla,username@e   hJ ozy,,,,,,
268,9:02,Poor Brian,username@yAnhynyyyt,,,,,,
269,9:02,I’m a bot,username@nooaaaDmim,,,,,,
270,9:02,Hey,username@mnilnLleie,,,,,,
271,9:03,No members only mode?,username@gghNNgNgtt,,,,,,
272,9:03,I just got the notification,username@s lns ndal,,,,,,
273,9:03,Hello,username@aton nan a,,,,,,
274,9:03,It’s nogla,username@nglngkiaga,,,,,,
275,9:04,hi Brian,username@ceeeeceeRe,,,,,,
276,9:04,h20 and Alex?,username@gD garu gr,,,,,,
277,9:05,dang Terroriser u died first?,username@hJeheeGeG_,,,,,,
278,9:05,how are you brian,username@zvRzz_z  o,,,,,,
279,9:05,How you doing,username@llAL l  ol,,,,,,
280,9:05,WAFFLE WAFFLE CRISPY GOLDEN WAFFLES!!!!!!!!!!,username@syetotynrh,,,,,,
281,9:06,hey 🤚,username@errhshyrFo,,,,,,
282,9:07,Someone disliked red spy has entered the base,username@erPtossuoc,,,,,,
283,9:07,hi,username@eRaenyty S,,,,,,
284,9:07,BRINE,username@GfrGGafiGf,,,,,,
285,9:07,Alex,username@aIIIbesTsM,,,,,,
286,9:07,So I see Brian is dead,username@roe ot rea,,,,,,
287,9:07,stupid,username@Weornnatne,,,,,,
288,9:08,Subbed,username@Rszskzkzzz,,,,,,
289,9:08,hi,username@epPtattrpP,,,,,,
290,9:09,Hey from Australia!,username@aiaxTyexRa,,,,,,
291,9:10,it's 12.10 at night for me I'm smiley and cant sleep so good timing🙂,username@ehmaSGoSre,,,,,,
292,9:10,Goodnight to the best YouTuber of all time from California,username@iP aMi MMn,,,,,,
293,9:10,What’s your fav color,username@ern a rHee,,,,,,
294,9:11,Hi,username@elpemlaDee,,,,,,
295,9:11,Just watching an amazing streamed / YouTube,username@l hloheCle,,,,,,
296,9:11,Nogla sus ngl,username@MHM M NUUM,,,,,,
297,9:12,lets get to 1000 sponsers today,username@SdzSzSdzSz,,,,,,
298,9:12,dumb,username@Weornnatne,,,,,,
299,9:13,Hii,username@ttaA aAtny,,,,,,
300,9:13,Youre cute,username@edmDdEylll,,,,,,
301,9:13,I’m doing the dirk,username@5ion5yL 8G,,,,,,
302,9:13,you can't see this,username@a sada.idi,,,,,,
303,9:14,I think it’s marcel,username@hecehclMeb,,,,,,
304,9:14,I feel Bad that you Already Died in This,username@u T Egilql,,,,,,
305,9:15,yo Brian,username@msadvdvaaa,,,,,,
306,9:15,who killed you,username@b ooooyuyg,,,,,,
307,9:15,brian how are you,username@ dnuaeautn,,,,,,
308,9:17,Brian you looking mad cute,username@ill1b1ll1i,,,,,,
309,9:17,Hello Brian!!!!!!!!!!!,username@rzleaeil t,,,,,,
310,9:17,this will end well😂,username@LJJJoosJGn,,,,,,
311,9:17,ugly,username@Weornnatne,,,,,,
312,9:17,hi dad,username@Eearmkrnnr,,,,,,
313,9:17,nogla sus,username@ytyg T otg,,,,,,
314,9:18,Lez go Dead People,username@yACCAnatAn,,,,,,
315,9:19,Brian brianbrian brian brian,username@nhhaBahn h,,,,,,
316,9:20,I pooped mr pants,username@dndghfoghg,,,,,,
317,9:20,"Eyes blue or brown,can remember ever since December, eyes green or gray can remember since the last of December",username@yea1a0atl ,,,,,,
318,9:24,but u cute tho,username@Weornnatne,,,,,,
319,9:24,hello brine,username@g  hypgloo,,,,,,
320,9:25,hello knockoff Jacksepticeye!,username@2n2nkeI3nn,,,,,,
321,9:25,:virtualhug:,username@dAs Ardnae,,,,,,
322,9:25,well he's already dead,username@t mbeiaaan,,,,,,
323,9:26,Well brian is dead,username@tttheerfec,,,,,,
324,9:26,Hi,username@phlrreiols,,,,,,
325,9:26,IT'S ALEX AND NOGLA,username@gD garu gr,,,,,,
326,9:27,You should dan,username@edmDdEylll,,,,,,
327,9:27,hey Brian can I play with u guys,username@reerfooomo,,,,,,
328,9:30,Brian you looking mad cute,username@ill1b1ll1i,,,,,,
329,9:30,"I just got here, I think it was Nogla that killed him",username@siiruisxum,,,,,,
330,9:31,true,username@iggsGesLaL,,,,,,
331,9:31,came over from nogla's livestream,username@DADeA Dlxl,,,,,,
332,9:31,hewwo,username@ tnBaibiaB,,,,,,
333,9:31,Glad to see you and your friends are just being friends,username@0ci2ieC7el,,,,,,
334,9:32,Dab,username@edmDdEylll,,,,,,
335,9:32,I like your content,username@ceeeeceeRe,,,,,,
336,9:33,And he’s hearing the confrontation,username@roe ot rea,,,,,,
337,9:35,Dab,username@edmDdEylll,,,,,,
338,9:38,Dab,username@edmDdEylll,,,,,,
339,9:40,Nogla going for no kill game,username@rrtNNrimih,,,,,,
340,9:40,hey,username@NNRXi ERXi,,,,,,
341,9:41,Dab,username@edmDdEylll,,,,,,
342,9:42,Yes,username@Dot  unsot,,,,,,
343,9:43,anyone know when the next mario stream is?????????????,username@leliirkrie,,,,,,
344,9:43,Dab,username@edmDdEylll,,,,,,
345,9:44,todays my 15th birthday,username@dllflnfir ,,,,,,
346,9:44,lmao i open it up and they are already yelling,username@redrrenAdr,,,,,,
347,9:45,Red spy has entered the base,username@erPtossuoc,,,,,,
348,9:46,Dab,username@edmDdEylll,,,,,,
349,9:47,It’s 911 here right now in California,username@iP aMi MMn,,,,,,
350,9:48,Hi,username@ jjjSajjSj,,,,,,
351,9:48,hey Brian this is the first stream I have been in on your channel,username@ teregG nm,,,,,,
352,9:50,nogla is among us,username@ eeeasnaa ,,,,,,
353,9:50,Hi dad,username@ninniiixqq,,,,,,
354,9:51,Dab,username@Dot  unsot,,,,,,
355,9:54,Someone donate 100 dollars,username@0ci2ieC7el,,,,,,
356,9:55,I’m sad for u Brian cause your dead,username@roe ot rea,,,,,,
357,9:55,Dab,username@Dot  unsot,,,,,,
358,9:57,hi terroriser,username@acmcamussc,,,,,,
359,9:58,Dab,username@edmDdEylll,,,,,,
360,9:58,Sup,username@elJJre8r81,,,,,,
361,9:58,Gauranteed???,username@ smrAltrol,,,,,,
362,9:59,big fan tererizor,username@ A ED NSVA,,,,,,
363,10:00,from England.,username@3535FT  T3,,,,,,
364,10:02,granted you're better than him,username@2n2nkeI3nn,,,,,,
365,10:05,Nolgas not killin,username@or z yeeoo,,,,,,
366,10:06,lol i know who the imposter is lolololol,username@e deM eAde,,,,,,
367,10:06,Oof,username@sBdB sDaaa,,,,,,
368,10:06,Woohoo just left noglas stream!,username@McePPet at,,,,,,
369,10:07,"Want to join the TerrorFam? Become a member to my channel and get access to ""Member-Only Chat"" and the Terroriser Private Discord! https://www.youtube.com/channel/UCQio...",username@hNtttggNoh,,,,,,
370,10:13,I think Pink is imposter,username@_SXAPG_APG,,,,,,
371,10:22,hello from oshkosh,username@ dnuaeautn,,,,,,
372,10:23,"i think it would be better if when the people died, they are allowed to talk to each other.",username@Sllilyyvee,,,,,,
373,10:25,ello,username@afwwnfrnra,,,,,,
374,10:26,"@Terroriser not to be a hater but guaranteed is spelled wrong, unless that’s on purpose 😂",username@ E* l*El*a,,,,,,
375,10:30,who is it,username@b ooooyuyg,,,,,,
376,10:31,bye,username@a sada.idi,,,,,,
377,10:33,been a big fan for years man first time catching stream im escited,username@SeSA1USrmr,,,,,,
378,10:33,Hello,username@ieVrepreii,,,,,,
379,10:34,hi brian,username@xeG aleaxa,,,,,,
380,10:36,F*** Nogla!!!,username@ smrAltrol,,,,,,
381,10:36,I was waiting for you to start your stream as soon as I found out you were going to join!,username@lysollihcA,,,,,,
382,10:40,Nogla could be the Imposter,username@u T Egilql,,,,,,
383,10:41,IM EARLY FOR ONCE IN MY LIFE!!,username@arreua SeT,,,,,,
384,10:46,Hi,username@eleeeVelVe,,,,,,
385,10:48,its nogla,username@eNNe ooore,,,,,,
386,10:49,NOGLA,username@Lrncau iVr,,,,,,
387,10:51,yep it is nogla,username@e deM eAde,,,,,,
388,10:52,Yip he’s right,username@okSioikuiS,,,,,,
389,10:57,:thanksdoc:the chat is dead for God shakes,username@87d8d8c  o,,,,,,
390,10:59,nohla sus,username@zvRzz_z  o,,,,,,
391,10:59,h2o,username@m lmanaWmd,,,,,,
392,11:00,itz nogla lmao,username@CdnyyCnCnC,,,,,,
393,11:01,Ask cray,username@hjrhanorrh,,,,,,
394,11:03,I'm gay,username@hreFeFeeeh,,,,,,
395,11:04,nogla,username@wt opknhni,,,,,,
396,11:05,nogla 100%,username@dadiAeDddo,,,,,,
397,11:06,Dumb ways to die,username@elJJre8r81,,,,,,
398,11:09,"well was watching nogla's stream but it kept buffering, why dose it only do that with him for me???",username@bkkdrootio,,,,,,
399,11:09,Nogla is good I checked,username@ cmaahiZih,,,,,,
400,11:09,It is nogla,username@yh_epya_pt,,,,,,
401,11:10,nogla,username@wt opknhni,,,,,,
402,11:10,hey brian from ahkosh how are you im a big fan,username@ dnuaeautn,,,,,,
403,11:10,who is it,username@b ooooyuyg,,,,,,
404,11:11,hi,username@llFFdlnrBF,,,,,,
405,11:14,It’s nogla,username@syetotynrh,,,,,,
406,11:15,nogla],username@wt opknhni,,,,,,
407,11:15,Is there 2 imposters?,username@_SXAPG_APG,,,,,,
408,11:15,What's up Brian. 😁✌,username@edegeane n,,,,,,
409,11:15,could be nogla,username@onoleeeone,,,,,,
410,11:15,hiii,username@nnD M MaD ,,,,,,
411,11:16,It’s nogla,username@cacafaaail,,,,,,
412,11:17,oshkosh,username@ dnuaeautn,,,,,,
413,11:18,Or 1?,username@_SXAPG_APG,,,,,,
414,11:18,nogla,username@wt opknhni,,,,,,
415,11:19,Also hello Brian,username@bkkdrootio,,,,,,
416,11:21,Hey Brineeeee!,username@ ____nU__w,,,,,,
417,11:23,nogla,username@wt opknhni,,,,,,
418,11:23,Nogla,username@0ci2ieC7el,,,,,,
419,11:24,poggers,username@aaesSptlpS,,,,,,
420,11:29,It’s nogla,username@*66 zeBuo ,,,,,,
421,11:29,Hey Brian I just wanted to say thank you for making me laugh i love watching yalls videos and helping with my demons I got from my time in the military THANK YOU ALL,username@iisrnnis  ,,,,,,
422,11:30,It's Nogla He Sus,username@u T Egilql,,,,,,
423,11:31,nogla,username@r6mra8mgd8,,,,,,
424,11:32,It’s NOGLA I SAW HIS STREAM,username@ y y Nyyrg,,,,,,
425,11:33,Hey can you dab,username@edmDdEylll,,,,,,
426,11:34,how u been,username@cdrenr mdn,,,,,,
427,11:35,"Eyes blue or brown can remember since December, eyes green or gray can’t remember ever since last December",username@yea1a0atl ,,,,,,
428,11:35,There is two,username@yh_epya_pt,,,,,,
429,11:36,@FrenchSpaghet ​ I support you bud,username@rrrouFdroq,,,,,,
430,11:41,It’s not noglo or laser,username@ cmaahiZih,,,,,,
431,11:43,It Alex,username@cacafaaail,,,,,,
432,11:45,that's rough buddy,username@s op_omini,,,,,,
433,11:46,Brian let me join,username@reerfooomo,,,,,,
434,11:46,NoGLa sUS NgL,username@MHM M NUUM,,,,,,
435,11:53,Able to put discord overlay on? I don't know these voices,username@sh snanaat,,,,,,
436,11:58,ITS NOGLA I SAW HIS SREAM,username@ y y Nyyrg,,,,,,
437,12:00,"I was about to go to bed but I think I'll, uh, stay up a bit longer...",username@cccccccccc,,,,,,
