,Topic,Direct Harassment,Hate Speech,Sexual Harassment,Trolling,Others,Toxic,Topic Top 10 Keywords
52,87,0.0398,0.029,-,0.0588,0.0313,0.0266,"['mr', 'family', 'crime', 'four', 'first', 'vice', 'gitmo', 'score', 'run', 'team']"
53,88,0.0354,0.091,-,0.0442,0.0392,0.0306,"['socialism', 'distancing', 'practice', 'part', 'communism', 'never', 'four', 'americans', 'âœšâœšâœšâœšâœšâœšâœšâœšâœšâœšâœšâœš', 'watch']"
54,89,0.0354,0.0403,-,0.0726,0.0186,0.0184,"['take', 'care', 'business', 'house', 'senate', 'home', 'long', 'vaccine', 'nothing', 'rid']"
55,9,-0.0162,-,-,-,-,-0.0226,"['james', 'john', 'senate', 'elect', 'rocks', 'peters', 'fly', 'senator', 'future', 'run']"
56,90,0.0578,0.0262,-,0.0293,0.0297,0.0355,"['penny', 'talk', 'capable', 'see', 'look', 'pompeo', 'tell', 'obama', 'goodvibe', 'match']"
57,92,0.1079,0.1186,0.0253,0.0931,0.0444,0.0731,"['harris', 'kamala', 'hate', 'heels', 'well', 'evil', 'commie', 'cornpop', 'bad', 'hose']"
58,93,0.0602,0.0485,-,0.0795,0.02,0.0291,"['show', 'tape', 'share', 'news', 'fake', 'patriots', 'stream', 'fox', 'cnn', 'see']"
59,94,0.0294,0.0278,-,0.0522,0.0203,0.0391,"['baby', 'live', 'yeah', 'unborn', 'florida', 'time', 'day', 'ohio', 'know', 'cali']"
60,95,0.0575,0.06,-,0.0619,0.0331,0.056,"['pelosi', 'nancy', 'fire', 'retire', 'jail', 'mars', 'obama', 'gitmo', 'send', 'house']"
61,96,0.0352,0.0326,-,0.0528,0.0268,0.0352,"['way', 'already', 'ticket', 'republican', 'life', 'rid', 'corrupt', 'medium', 'today', 'stake']"
62,97,0.0222,0.0284,-,0.0558,0.0289,0.0271,"['free', 'kyle', 'know', 'truth', 'election', '100', 'speech', 'everyone', 'world', 'illinois']"
63,98,0.0226,-,0.019,0.0335,-,0.018,"['_rsbnusa', '_rsbntrump', 'rsbnusa', '_rsbnkag', '_rsbncross', '_rsbnlogo', '_rsbnusa2', 'tsunami', '_rsbnmagahat', '_rsbnredcalif']"
64,99,0.0206,0.0261,-,0.0326,-,0.0192,"['uk', '_rsbnusa2', 'election', 'watch', 'rsbnusa2', '2028', 'salty', 'army', 'hello', 'trumo']"
