,message,Direct Harassment,Hate Speech,Sexual Harassment,Trolling,Others,Toxic,None
39,oooh baby baby,0.0,0.0,0.0,0.0,0.0,0.0,1.0
40,ya ya ya ya,0.0,0.0,0.0,0.0,0.0,0.0,1.0
41,hola bae!!,0.0,0.0,0.0,0.0,0.0,0.0,1.0
42,doc twitch miss you !!!,0.0,0.0,0.0,0.0,0.0,0.0,1.0
43,Well now this is stuck in my cerebellum for the rest of the day lol,0.0,0.0,0.0,0.0,0.0,0.0,1.0
44,yesss,0.0,0.0,0.0,0.0,0.0,0.0,1.0
45,YESSSSSS,0.0,0.0,0.0,0.0,0.0,0.0,1.0
46,​PEOPLE WHO SAY MEMBERS ONLY🤡🤡🤡🤡🤡🤡🤡🤡,1.0,0.0,0.0,0.0,0.0,0.0,0.0
47,:_Lambo::_Lambo::_Lambo:,0.0,0.0,0.0,0.0,0.0,0.0,1.0
48,SIMPS LOVE DOC,0.0,0.0,0.0,0.0,0.0,0.0,1.0
49,d,0.0,0.0,0.0,0.0,0.0,0.0,1.0
50,LETS GO LETS GO LETS Go,0.0,0.0,0.0,0.0,0.0,0.0,1.0
51,WAKE UP,0.0,0.0,0.0,0.0,0.0,0.0,1.0
52,Show Time,0.0,0.0,0.0,0.0,0.0,0.0,1.0
53,yayayaya,0.0,0.0,0.0,0.0,0.0,0.0,1.0
54,2x,0.0,0.0,0.0,0.0,0.0,0.0,1.0
55,turn that thing.....,0.0,0.0,0.0,0.0,0.0,0.0,1.0
56,​PEOPLE WHO SAY MEMBERS ONLY🤡🤡🤡🤡🤡🤡🤡🤡,1.0,0.0,0.0,0.0,0.0,0.0,0.0
57,lets goooooooooo,0.0,0.0,0.0,0.0,0.0,0.0,1.0
58,V8,0.0,0.0,0.0,0.0,0.0,0.0,1.0
59,Garage done?,0.0,0.0,0.0,0.0,0.0,0.0,1.0
60,​PEOPLE WHO SAY MEMBERS ONLY🤡🤡🤡🤡🤡🤡🤡🤡,1.0,0.0,0.0,0.0,0.0,0.0,0.0
61,BO3 best cod ever best advanced movement,0.0,0.0,0.0,0.0,0.0,0.0,1.0
62,pog,0.0,0.0,0.0,0.0,0.0,0.0,1.0
63,bo2 best game ever,0.0,0.0,0.0,0.0,0.0,0.0,1.0
64,17 MILLION,0.0,0.0,0.0,0.0,0.0,0.0,1.0
65,RAAAAUUUUUUULLLLLL\,0.0,0.0,0.0,0.0,0.0,0.0,1.0
66,TURN ON MEMBERS ONLY MODE!!!,0.0,0.0,0.0,0.0,0.0,0.0,1.0
67,WHICH SONG WAS TAT DOC,0.0,0.0,0.0,0.0,0.0,0.0,1.0
68,LEEEETTTTTTS GOOOOOO BABYYYYYY,0.0,0.0,0.0,0.0,0.0,0.0,1.0
69,the best part!!!!!,0.0,0.0,0.0,0.0,0.0,0.0,1.0
70,2x,0.0,0.0,0.0,0.0,0.0,0.0,1.0
71,BUCKLE IN!!!,0.0,0.0,0.0,0.0,0.0,0.0,1.0
72,dont ya peak,0.0,0.0,0.0,0.0,0.0,0.0,1.0
73,he couldnt wait,0.0,0.0,0.0,0.0,0.0,0.0,1.0
74,MEMBERS ONLY,0.0,0.0,0.0,0.0,0.0,0.0,1.0
75,LETS GOOO:_Perfect::_Perfect::_Perfect::_Perfect::_Perfect::_Perfect::_Perfect::_Perfect::_Pumpkin:,0.0,0.0,0.0,0.0,0.0,0.0,1.0
76,les gooo cjat,0.0,0.0,0.0,0.0,0.0,0.0,1.0
77,shhhhhhhhhhhh,0.0,0.0,0.0,0.0,0.0,0.0,1.0
78,Get these:_Bangs::_Bangs::_Bangs::_Bangs:Out,0.0,0.0,0.0,0.0,0.0,0.0,1.0
79,NEVERRR,0.0,0.0,0.0,0.0,0.0,0.0,1.0
80,heyyyyy,0.0,0.0,0.0,0.0,0.0,0.0,1.0
81,yea dudeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,0.0,0.0,0.0,0.0,0.0,0.0,1.0
82,v12*,0.0,0.0,0.0,0.0,0.0,0.0,1.0
83,🤯🤯🤯🤯🤯🤯🤯,0.0,0.0,0.0,0.0,0.0,0.0,1.0
84,NO,0.0,0.0,0.0,0.0,0.0,0.0,1.0
85,LET'S GO BABY!!! YAYAYAYAYAYAYAYAYA,0.0,0.0,0.0,0.0,0.0,0.0,1.0
86,let's Gooooo,0.0,0.0,0.0,0.0,0.0,0.0,1.0
87,WE LOCK THE DOORS,0.0,0.0,0.0,0.0,0.0,0.0,1.0
88,were just getting started,0.0,0.0,0.0,0.0,0.0,0.0,1.0
89,CC!,0.0,0.0,0.0,0.0,0.0,0.0,1.0
90,bo2 better,0.0,0.0,0.0,0.0,0.0,0.0,1.0
91,Lex go bro,0.0,0.0,0.0,0.0,0.0,0.0,1.0
92,NON MEMBERS:_Giggles::_Giggles:CUTE,0.0,0.0,0.0,0.0,0.0,0.0,1.0
93,DONO HYPE,0.0,0.0,0.0,0.0,0.0,0.0,1.0
94,"The 2x , 1993-1994 blockbuster video gaming champion!!!!",0.0,0.0,0.0,0.0,0.0,0.0,1.0
95,YAYAYAYAYA,0.0,0.0,0.0,0.0,0.0,0.0,1.0
96,JUST GETTING STARTED,0.0,0.0,0.0,0.0,0.0,0.0,1.0
97,MEMBERS ONLY YAYA,0.0,0.0,0.0,0.0,0.0,0.0,1.0
98,This intro is the best!!!,0.0,0.0,0.0,0.0,0.0,0.0,1.0
99,we're not even close!!!!,0.0,0.0,0.0,0.0,0.0,0.0,1.0
100,Hype!!,0.0,0.0,0.0,0.0,0.0,0.0,1.0
101,YAYAYAYAYAYYAYAYA,0.0,0.0,0.0,0.0,0.0,0.0,1.0
102,lets go,0.0,0.0,0.0,0.0,0.0,0.0,1.0
103,Letsssssssss goooooooooooooooooooooooooooooo,0.0,0.0,0.0,0.0,0.0,0.0,1.0
104,YAYAYAYA,0.0,0.0,0.0,0.0,0.0,0.0,1.0
105,vsm oh baby baby baby,0.0,0.0,0.0,0.0,0.0,0.0,1.0
106,I loved Dr,0.0,0.0,0.0,0.0,0.0,0.0,1.0
107,YAYAYAYYAYAYAYAYAA,0.0,0.0,0.0,0.0,0.0,0.0,1.0
108,People who spam🤡,0.0,0.0,0.0,0.0,0.0,0.0,1.0
109,VIOLENCE SPEED MOMENTUM,0.0,0.0,0.0,0.0,0.0,0.0,1.0
110,wooo,0.0,0.0,0.0,0.0,0.0,0.0,1.0
111,NEVER...,0.0,0.0,0.0,0.0,0.0,0.0,1.0
112,Here we go!,0.0,0.0,0.0,0.0,0.0,0.0,1.0
113,lets gooo,0.0,0.0,0.0,0.0,0.0,0.0,1.0
114,no locks in the arena,0.0,0.0,0.0,0.0,0.0,0.0,1.0
115,we're just getting started,0.0,0.0,0.0,0.0,0.0,0.0,1.0
116,WE ARE JUST GETTING STARTED,0.0,0.0,0.0,0.0,0.0,0.0,1.0
117,yayaya,0.0,0.0,0.0,0.0,0.0,0.0,1.0
118,"Get the bread, bring home the fred. Think about it.",0.0,0.0,0.0,0.0,0.0,0.0,1.0
119,NO LOCKS EVER,0.0,0.0,0.0,0.0,0.0,0.0,1.0
120,2x baby,0.0,0.0,0.0,0.0,0.0,0.0,1.0
121,x2,0.0,0.0,0.0,0.0,0.0,0.0,1.0
122,yaya,0.0,0.0,0.0,0.0,0.0,0.0,1.0
123,ohhhhhhhhhhhhhhhh baby baby baby,0.0,0.0,0.0,0.0,0.0,0.0,1.0
124,CHAMPION'S CLUB:_Warcry::_Giggles::_Handshake:,0.0,0.0,0.0,0.0,0.0,0.0,1.0
125,nooooooo,0.0,0.0,0.0,0.0,0.0,0.0,1.0
126,NOBODY DOES IT BETTER,0.0,0.0,0.0,0.0,0.0,0.0,1.0
127,The Name,0.0,0.0,0.0,0.0,0.0,0.0,1.0
128,Doccc,0.0,0.0,0.0,0.0,0.0,0.0,1.0
129,Z,0.0,0.0,0.0,0.0,0.0,0.0,1.0
130,epic hype,0.0,0.0,0.0,0.0,0.0,0.0,1.0
131,yayayayayaya,0.0,0.0,0.0,0.0,0.0,0.0,1.0
132,WERR JUST GETTING STARTED,0.0,0.0,0.0,0.0,0.0,0.0,1.0
133,THE 2 TIME!!!!!!!!!,0.0,0.0,0.0,0.0,0.0,0.0,1.0
134,is this Bo2,0.0,0.0,0.0,0.0,0.0,0.0,1.0
135,LETS GO,0.0,0.0,0.0,0.0,0.0,0.0,1.0
136,Yayaya!🔥,0.0,0.0,0.0,0.0,0.0,0.0,1.0
137,the na.e,0.0,0.0,0.0,0.0,0.0,0.0,1.0
138,Nick...:_Bangs:,0.0,0.0,0.0,0.0,0.0,0.0,1.0
139,it's time cc:_Yaya::_Yaya::_Yaya::_Yaya::_Yaya:,0.0,0.0,0.0,0.0,0.0,0.0,1.0
140,YESSSSSS,0.0,0.0,0.0,0.0,0.0,0.0,1.0
141,:_Buffer1::_Bless::_Buffer2:,0.0,0.0,0.0,0.0,0.0,0.0,1.0
142,YAYAYAYAYAYYAYAA,0.0,0.0,0.0,0.0,0.0,0.0,1.0
143,YAYAYAYAYAYAYAA,0.0,0.0,0.0,0.0,0.0,0.0,1.0
144,JUST GETTING STARTED,0.0,0.0,0.0,0.0,0.0,0.0,1.0
145,Zeeeeeeeeeeeee laaaaaanaaaaaaahhh,0.0,0.0,0.0,0.0,0.0,0.0,1.0
146,bo2 best COD ever hands down,0.0,0.0,0.0,0.0,0.0,0.0,1.0
147,just started!!!,0.0,0.0,0.0,0.0,0.0,0.0,1.0
148,yayayayaya,0.0,0.0,0.0,0.0,0.0,0.0,1.0
149,Momentum,0.0,0.0,0.0,0.0,0.0,0.0,1.0
150,aayeah,0.0,0.0,0.0,0.0,0.0,0.0,1.0
151,:_Perfect::_Perfect::_Perfect::_Perfect::_Buffer1::_Pumpkin::_Buffer2:,0.0,0.0,0.0,0.0,0.0,0.0,1.0
152,URE NOT EVEN CLOSE,0.0,0.0,0.0,0.0,0.0,0.0,1.0
153,lets go!!,0.0,0.0,0.0,0.0,0.0,0.0,1.0
154,the name....,0.0,0.0,0.0,0.0,0.0,0.0,1.0
155,TWITCH MISS YOU!!!!!!!!!,0.0,0.0,0.0,0.0,0.0,0.0,1.0
156,yeeeeee,0.0,0.0,0.0,0.0,0.0,0.0,1.0
157,yayya,0.0,0.0,0.0,0.0,0.0,0.0,1.0
158,yayaya,0.0,0.0,0.0,0.0,0.0,0.0,1.0
159,THE NAME,0.0,0.0,0.0,0.0,0.0,0.0,1.0
160,!addcom !bracket https://boom.tv/tst/18831/,0.0,0.0,0.0,0.0,0.0,0.0,1.0
161,:_Warcry:C'MON:_Warcry:,0.0,0.0,0.0,0.0,0.0,0.0,1.0
162,COME ON,0.0,0.0,0.0,0.0,0.0,0.0,1.0
163,yayayayayaya,0.0,0.0,0.0,0.0,0.0,0.0,1.0
164,OHHHHH YEAH BABY!!!!!,0.0,0.0,0.0,0.0,0.0,0.0,1.0
165,360 MINIMUM,0.0,0.0,0.0,0.0,0.0,0.0,1.0
166,BOOM,0.0,0.0,0.0,0.0,0.0,0.0,1.0
167,DISSSSSS... respect....,0.0,0.0,0.0,0.0,0.0,0.0,1.0
168,dr disrespect is the best streamer out there,0.0,0.0,0.0,0.0,0.0,0.0,1.0
169,ooh baby baby baby,0.0,0.0,0.0,0.0,0.0,0.0,1.0
170,Yessirrrrr,0.0,0.0,0.0,0.0,0.0,0.0,1.0
171,pesos are for everrrr,0.0,0.0,0.0,0.0,0.0,0.0,1.0
172,CCCCCCCCCCELBRATION TIME,0.0,0.0,0.0,0.0,0.0,0.0,1.0
173,Doc o’clock,0.0,0.0,0.0,0.0,0.0,0.0,1.0
174,hoooi,0.0,0.0,0.0,0.0,0.0,0.0,1.0
175,come on!,0.0,0.0,0.0,0.0,0.0,0.0,1.0
176,yayayayayayayayayayayayayaa,0.0,0.0,0.0,0.0,0.0,0.0,1.0
177,yayayayayayayayay,0.0,0.0,0.0,0.0,0.0,0.0,1.0
178,FACE OF YOUTUBE,0.0,0.0,0.0,0.0,0.0,0.0,1.0
179,NICK GURRRRRRRR,0.0,0.0,0.0,0.0,0.0,0.0,1.0
180,kAMAAAAAAAAAAAAN,0.0,0.0,0.0,0.0,0.0,0.0,1.0
181,yayayayaya,0.0,0.0,0.0,0.0,0.0,0.0,1.0
182,Heynow!!!!,0.0,0.0,0.0,0.0,0.0,0.0,1.0
183,yayayayayyaya,0.0,0.0,0.0,0.0,0.0,0.0,1.0
184,:yougotthis:,0.0,0.0,0.0,0.0,0.0,0.0,1.0
185,MINIMUM,0.0,0.0,0.0,0.0,0.0,0.0,1.0
186,2x Champ,0.0,0.0,0.0,0.0,0.0,0.0,1.0
187,You tube is free 😂😂 all his members mad,0.0,0.0,0.0,0.0,0.0,0.0,1.0
188,NOT EVEN CLOSE,0.0,0.0,0.0,0.0,0.0,0.0,1.0
189,ANTI MEMBERS ONLY CHAT,1.0,0.0,0.0,0.0,0.0,0.0,0.0
190,YES,0.0,0.0,0.0,0.0,0.0,0.0,1.0
191,:_Buffer1::_Alien::_Buffer2:,0.0,0.0,0.0,0.0,0.0,0.0,1.0
192,Celebration TIME! :_Better::_Think:,0.0,0.0,0.0,0.0,0.0,0.0,1.0
193,Aye bo2,0.0,0.0,0.0,0.0,0.0,0.0,1.0
194,who makes gaming fun,0.0,0.0,0.0,0.0,0.0,0.0,1.0
195,speed,0.0,0.0,0.0,0.0,0.0,0.0,1.0
196,yayayayayayay,0.0,0.0,0.0,0.0,0.0,0.0,1.0
197,360 minimum,0.0,0.0,0.0,0.0,0.0,0.0,1.0
198,:_Buffer1::_Pudge::_Buffer2:,0.0,0.0,0.0,0.0,0.0,0.0,1.0
199,Celebration time...,0.0,0.0,0.0,0.0,0.0,0.0,1.0
200,"Best Intro out there, genious work DOC!",0.0,0.0,0.0,0.0,0.0,0.0,1.0
201,baby baby.. let's go...,0.0,0.0,0.0,0.0,0.0,0.0,1.0
202,yayayayya,0.0,0.0,0.0,0.0,0.0,0.0,1.0
203,Let’s gooo,0.0,0.0,0.0,0.0,0.0,0.0,1.0
204,!bracket,0.0,0.0,0.0,0.0,0.0,0.0,1.0
205,YAYAYAYAYAYAY,0.0,0.0,0.0,0.0,0.0,0.0,1.0
206,Celebration time:_Dance:,0.0,0.0,0.0,0.0,0.0,0.0,1.0
207,💣💥,0.0,0.0,0.0,0.0,0.0,0.0,1.0
208,360 MINIMUM,0.0,0.0,0.0,0.0,0.0,0.0,1.0
209,https://boom.tv/tst/18831/,0.0,0.0,0.0,0.0,0.0,0.0,1.0
210,"We are all members, in our HEARTS",0.0,0.0,0.0,0.0,0.0,0.0,1.0
211,Wooooooooaaaahhhh,0.0,0.0,0.0,0.0,0.0,0.0,1.0
212,DOC FANS = CHUBBY 8 YEAR OLDS 😂😂,0.0,0.0,0.0,0.0,0.0,0.0,1.0
213,YAYAYAYAYAYYA,0.0,0.0,0.0,0.0,0.0,0.0,1.0
214,PURE SUCCESS,0.0,0.0,0.0,0.0,0.0,0.0,1.0
215,why is it a problem if its not members only chat?,0.0,0.0,0.0,0.0,0.0,0.0,1.0
216,💪🏽😎 YAYAYAYAY,0.0,0.0,0.0,0.0,0.0,0.0,1.0
217,AAAAAAAAAAA,0.0,0.0,0.0,0.0,0.0,0.0,1.0
218,Momentum,0.0,0.0,0.0,0.0,0.0,0.0,1.0
219,I AM A BOMMER???????,0.0,0.0,0.0,0.0,0.0,0.0,1.0
220,TRICKLE IN,0.0,0.0,0.0,0.0,0.0,0.0,1.0
221,BOOM,0.0,0.0,0.0,0.0,0.0,0.0,1.0
222,OMFG,0.0,0.0,0.0,0.0,0.0,0.0,1.0
223,🔥,0.0,0.0,0.0,0.0,0.0,0.0,1.0
224,woooooooooo,0.0,0.0,0.0,0.0,0.0,0.0,1.0
225,collab!!,0.0,0.0,0.0,0.0,0.0,0.0,1.0
226,dr,0.0,0.0,0.0,0.0,0.0,0.0,1.0
227,HHHHHHHHHHHH,0.0,0.0,0.0,0.0,0.0,0.0,1.0
228,OMFG,0.0,0.0,0.0,0.0,0.0,0.0,1.0
229,:_Warcry:HUH:_Warcry:,0.0,0.0,0.0,0.0,0.0,0.0,1.0
230,wowowowow,0.0,0.0,0.0,0.0,0.0,0.0,1.0
231,Nightbot bans for caps but  doyle can just keep spamming the clown emoji tf,0.0,0.0,0.0,0.0,0.0,0.0,1.0
232,ANTI MEMBERS ONLY CHAT,1.0,0.0,0.0,0.0,0.0,0.0,0.0
233,let's go,0.0,0.0,0.0,0.0,0.0,0.0,1.0
234,Blue dot on the kilo,0.0,0.0,0.0,0.0,0.0,0.0,1.0
235,:_Buffer1::_Pudge::_Buffer2:,0.0,0.0,0.0,0.0,0.0,0.0,1.0
236,SPEED,0.0,0.0,0.0,0.0,0.0,0.0,1.0
237,next snipe..... 360,0.0,0.0,0.0,0.0,0.0,0.0,1.0
238,Jesus the chat is fast,0.0,0.0,0.0,0.0,0.0,0.0,1.0
239,yayayayayayayayayayayayyaya,0.0,0.0,0.0,0.0,0.0,0.0,1.0
240,?,0.0,0.0,0.0,0.0,0.0,0.0,1.0
241,👏👏👏👏👏👏👏👏👏👏👏👏,0.0,0.0,0.0,0.0,0.0,0.0,1.0
242,It was really only a matter of time.,0.0,0.0,0.0,0.0,0.0,0.0,1.0
243,:_Giggles::_Giggles::_Giggles::_Giggles::_Giggles::_Giggles::_Giggles::_Giggles::_Giggles::_Giggles:,0.0,0.0,0.0,0.0,0.0,0.0,1.0
244,ahhh,0.0,0.0,0.0,0.0,0.0,0.0,1.0
245,HHHHHHHHHHHHHHHHHHHHHHH,0.0,0.0,0.0,0.0,0.0,0.0,1.0
246,BETTER!!!,0.0,0.0,0.0,0.0,0.0,0.0,1.0
247,black ops 2??????? yoooo why tho?,0.0,0.0,0.0,0.0,0.0,0.0,1.0
248,:_Warcry::_Warcry::_Warcry:,0.0,0.0,0.0,0.0,0.0,0.0,1.0
249,EZZZZZZZZZZZZZ,0.0,0.0,0.0,0.0,0.0,0.0,1.0
250,HYPE,0.0,0.0,0.0,0.0,0.0,0.0,1.0
251,:_Peek::_Punk:,0.0,0.0,0.0,0.0,0.0,0.0,1.0
252,CHAMPIONS CLUB ONLY MODE,0.0,0.0,0.0,0.0,0.0,0.0,1.0
253,boom!!,0.0,0.0,0.0,0.0,0.0,0.0,1.0
254,bots,0.0,0.0,0.0,0.0,0.0,0.0,1.0
255,raaaaaaaaaaaUL,0.0,0.0,0.0,0.0,0.0,0.0,1.0
256,BOOOOOOOM,0.0,0.0,0.0,0.0,0.0,0.0,1.0
257,:stayhome:,0.0,0.0,0.0,0.0,0.0,0.0,1.0
258,Don't u ever peek jony Boy,0.0,0.0,0.0,0.0,0.0,0.0,1.0
259,HOLD ON ARE WE LEGIT WATCHING BOII,0.0,0.0,0.0,0.0,0.0,0.0,1.0
260,ur here,0.0,0.0,0.0,0.0,0.0,0.0,1.0
261,how about become a member  daddy,0.0,0.0,0.0,0.0,0.0,0.0,1.0
262,BOOOOM,0.0,0.0,0.0,0.0,0.0,0.0,1.0
263,CHAMPIONS CLUB ONLY MODE,0.0,0.0,0.0,0.0,0.0,0.0,1.0
264,HUH??,0.0,0.0,0.0,0.0,0.0,0.0,1.0
265,BOOM,0.0,0.0,0.0,0.0,0.0,0.0,1.0
266,DON'T YOU DARE PEAK JOHNNY BOY!,0.0,0.0,0.0,0.0,0.0,0.0,1.0
267,Lol,0.0,0.0,0.0,0.0,0.0,0.0,1.0
268,4YER_CAK3 hey hopw many members does doc have currently??,0.0,0.0,0.0,0.0,0.0,0.0,1.0
269,NO ONE BETTER,0.0,0.0,0.0,0.0,0.0,0.0,1.0
270,lol,0.0,0.0,0.0,0.0,0.0,0.0,1.0
271,DOC FANS = CHUBBY 8 YEAR OLDS 😂😂,0.0,0.0,0.0,0.0,0.0,0.0,1.0
272,BOOM,0.0,0.0,0.0,0.0,0.0,0.0,1.0
273,gogogo,0.0,0.0,0.0,0.0,0.0,0.0,1.0
274,ya,0.0,0.0,0.0,0.0,0.0,0.0,1.0
275,hi,0.0,0.0,0.0,0.0,0.0,0.0,1.0
276,RELM,0.0,0.0,0.0,0.0,0.0,0.0,1.0
277,Raaaaaaauuuuuuuuullllllllll,0.0,0.0,0.0,0.0,0.0,0.0,1.0
278,jonnyboy,0.0,0.0,0.0,0.0,0.0,0.0,1.0
279,:_Peek::_Peek::_Peek:,0.0,0.0,0.0,0.0,0.0,0.0,1.0
280,VIOLENCE SPEED MOMENTUM,0.0,0.0,0.0,0.0,0.0,0.0,1.0
281,push these little ol buttons huh,0.0,0.0,0.0,0.0,0.0,0.0,1.0
282,boh,0.0,0.0,0.0,0.0,0.0,0.0,1.0
283,Doc is better,0.0,0.0,0.0,0.0,0.0,0.0,1.0
284,Celebration Time,0.0,0.0,0.0,0.0,0.0,0.0,1.0
285,bots,0.0,0.0,0.0,0.0,0.0,0.0,1.0
286,DONT PEEK,0.0,0.0,0.0,0.0,0.0,0.0,1.0
287,SPEEEEEEEEEEEEEEEEEEEEEED,0.0,0.0,0.0,0.0,0.0,0.0,1.0
288,wow bo2,0.0,0.0,0.0,0.0,0.0,0.0,1.0
289,where is black ops ii,0.0,0.0,0.0,0.0,0.0,0.0,1.0
290,DONT PEEK,0.0,0.0,0.0,0.0,0.0,0.0,1.0
291,right on time,0.0,0.0,0.0,0.0,0.0,0.0,1.0
292,Blue dot 🔵,0.0,0.0,0.0,0.0,0.0,0.0,1.0
293,JOHNNY BO!,0.0,0.0,0.0,0.0,0.0,0.0,1.0
294,Show them all Doctor,0.0,0.0,0.0,0.0,0.0,0.0,1.0
295,CHAMPIONS CLUB ONLY MODE,0.0,0.0,0.0,0.0,0.0,0.0,1.0
296,:_Peek:,0.0,0.0,0.0,0.0,0.0,0.0,1.0
297,Get out of MY FACE!!!,0.0,0.0,0.0,0.0,0.0,0.0,1.0
298,nobody does it better!,0.0,0.0,0.0,0.0,0.0,0.0,1.0
299,YAYAYAYAYAYAYAYA,0.0,0.0,0.0,0.0,0.0,0.0,1.0
300,Respect.. spect... spect..,0.0,0.0,0.0,0.0,0.0,0.0,1.0
301,dont pic,0.0,0.0,0.0,0.0,0.0,0.0,1.0
302,BOOM!!,0.0,0.0,0.0,0.0,0.0,0.0,1.0
303,no peeking,0.0,0.0,0.0,0.0,0.0,0.0,1.0
304,yayayayayayyayyaya,0.0,0.0,0.0,0.0,0.0,0.0,1.0
305,yayayayayayayayayayaya,0.0,0.0,0.0,0.0,0.0,0.0,1.0
306,D O M A I N,0.0,0.0,0.0,0.0,0.0,0.0,1.0
307,Black ops 2???,0.0,0.0,0.0,0.0,0.0,0.0,1.0
308,прикол,0.0,0.0,0.0,0.0,0.0,0.0,1.0
309,"We got that 16 weight bowling ball, and its going down that lane FAST MAN!! C'MON!!!!!!",0.0,0.0,0.0,0.0,0.0,0.0,1.0
310,Let’s go!!!,0.0,0.0,0.0,0.0,0.0,0.0,1.0
311,2x world,0.0,0.0,0.0,0.0,0.0,0.0,1.0
312,CHIN CHIN PUI PUIIII,0.0,0.0,0.0,0.0,0.0,0.0,1.0
313,720p ? DOC having internet issue again,0.0,0.0,0.0,0.0,0.0,0.0,1.0
314,:_Buffer1::_Alien::_Buffer2: jonny boi,0.0,0.0,0.0,0.0,0.0,0.0,1.0
315,🔵,0.0,0.0,0.0,0.0,0.0,0.0,1.0
316,20k not 20m in arena🤣,0.0,0.0,0.0,0.0,0.0,0.0,1.0
317,Snooze fest,0.0,0.0,0.0,0.0,0.0,0.0,1.0
318,.,0.0,0.0,0.0,0.0,0.0,0.0,1.0
319,hlo,0.0,0.0,0.0,0.0,0.0,0.0,1.0
320,Z,0.0,0.0,0.0,0.0,0.0,0.0,1.0
321,dONt you DARE PEAK,0.0,0.0,0.0,0.0,0.0,0.0,1.0
322,Boom,0.0,0.0,0.0,0.0,0.0,0.0,1.0
323,DOC FANS = CHUBBY 8 YEAR OLDS 😂😂,0.0,0.0,0.0,0.0,0.0,0.0,1.0
324,🔵,0.0,0.0,0.0,0.0,0.0,0.0,1.0
325,Don't you peek!!!,0.0,0.0,0.0,0.0,0.0,0.0,1.0
326,20 million!,0.0,0.0,0.0,0.0,0.0,0.0,1.0
327,:_Think::_Think::_Think::_Think::_Think::_Think::_Think::_Think:,0.0,0.0,0.0,0.0,0.0,0.0,1.0
328,Dont peek! Dont you DARE peek!!!!,0.0,0.0,0.0,0.0,0.0,0.0,1.0
329,DrDisRespect OP gamer,0.0,0.0,0.0,0.0,0.0,0.0,1.0
