,message,Direct Harassment,Hate Speech,Sexual Harassment,Trolling,Others,Toxic,cleaned_message,POS,tagCounts,preprocessed_1,POS-SEQ,None,words,uppercase_word_count,punctuation_count,not_in_vocab_words
11,What happen to the smooth trump transition 😆😆😆”bad things happen in Philadelphia”,0.0,0.0,0.0,0.0,0.0,0.0,What happen to the smooth trump transition 😆😆😆”bad things happen in Philadelphia”,"[('what', 'PRON'), ('happen', 'VERB'), ('to', 'ADP'), ('the', 'DET'), ('smooth', 'ADJ'), ('trump', 'NOUN'), ('transition', 'NOUN'), ('😆', 'EMOJI'), ('😆', 'EMOJI'), ('😆', 'EMOJI'), ('""', 'PUNCT'), ('bad', 'ADJ'), ('thing', 'NOUN'), ('happen', 'VERB'), ('in', 'ADP'), ('Philadelphia', 'PROPN'), ('""', 'PUNCT')]","{'PRON': 1, 'VERB': 2, 'ADP': 2, 'DET': 1, 'ADJ': 2, 'NOUN': 3, 'PROPN': 4, 'PUNCT': 2}",happen smooth trump transition 😆 😆 😆 bad thing happen philadelphia,PRON VERB ADP DET ADJ NOUN NOUN EMOJI EMOJI EMOJI PUNCT ADJ NOUN VERB ADP PROPN PUNCT,1.0,happen to smooth trump transition bad thing happen in philadelphia,0,0,
12,4 more years!!!!,0.0,0.0,0.0,0.0,0.0,0.0,4 more years!!!!,"[('4', 'NUM'), ('more', 'ADJ'), ('year', 'NOUN'), ('!', 'PUNCT'), ('!', 'PUNCT'), ('!', 'PUNCT'), ('!', 'PUNCT')]","{'NUM': 1, 'ADJ': 1, 'NOUN': 1, 'PUNCT': 4}",4 more year,NUM ADJ NOUN PUNCT PUNCT PUNCT PUNCT,1.0,4 more year,0,4,
13,world needs justice,0.0,0.0,0.0,0.0,0.0,0.0,world needs justice,"[('world', 'NOUN'), ('need', 'VERB'), ('justice', 'NOUN')]","{'NOUN': 2, 'VERB': 1}",world need justice,NOUN VERB NOUN,1.0,world need justice,0,0,
14,STOP THE STEAL!!!!,0.0,0.0,0.0,0.0,0.0,0.0,STOP THE STEAL!!!!,"[('stop', 'VERB'), ('the', 'DET'), ('steal', 'NOUN'), ('!', 'PUNCT'), ('!', 'PUNCT'), ('!', 'PUNCT'), ('!', 'PUNCT')]","{'VERB': 1, 'DET': 1, 'NOUN': 1, 'PUNCT': 4}",stop steal,VERB DET NOUN PUNCT PUNCT PUNCT PUNCT,1.0,stop steal,3,4,
15,Go USA!!!,0.0,0.0,0.0,0.0,0.0,0.0,Go USA!!!,"[('go', 'VERB'), ('USA', 'PROPN'), ('!', 'PUNCT'), ('!', 'PUNCT'), ('!', 'PUNCT')]","{'VERB': 1, 'PROPN': 1, 'PUNCT': 3}",go usa,VERB PROPN PUNCT PUNCT PUNCT,1.0,go usa,1,3,
16,Y’all LOST 🐝,0.0,0.0,0.0,0.0,0.0,0.0,Y’all LOST 🐝,"[('you', 'PRON'), ('all', 'DET'), ('lose', 'VERB'), ('🐝', 'EMOJI')]","{'X': 1, 'VERB': 1, 'PROPN': 1}",y’all lose 🐝,PRON DET VERB EMOJI,1.0,y’all lose,2,0,y’all
17,i cant stand this corrupt pompeo,1.0,0.0,0.0,0.0,0.0,0.0,i cant stand this corrupt pompeo,"[('I', 'PRON'), ('can', 'AUX'), ('not', 'PART'), ('stand', 'VERB'), ('this', 'DET'), ('corrupt', 'ADJ'), ('pompeo', 'NOUN')]","{'PRON': 1, 'AUX': 1, 'PART': 1, 'VERB': 1, 'DET': 1, 'ADJ': 1, 'NOUN': 1}",nt stand corrupt pompeo,PRON AUX PART VERB DET ADJ NOUN,0.0,ca nt stand corrupt pompeo,0,0,pompeo
18,Philadelphia is full of riggers,1.0,0.0,0.0,1.0,0.0,0.0,Philadelphia is full of riggers,"[('Philadelphia', 'PROPN'), ('be', 'AUX'), ('full', 'ADJ'), ('of', 'ADP'), ('rigger', 'NOUN')]","{'PROPN': 1, 'AUX': 1, 'ADJ': 1, 'ADP': 1, 'NOUN': 1}",philadelphia full rigger,PROPN AUX ADJ ADP NOUN,0.0,philadelphia be full of rigger,0,0,rigger
19,go go,0.0,0.0,0.0,0.0,0.0,0.0,go go,"[('go', 'VERB'), ('go', 'VERB')]",{'VERB': 2},go go,VERB VERB,1.0,go go,0,0,
20,SATAN ❤ TRUMP,1.0,0.0,0.0,0.0,0.0,1.0,SATAN ❤ TRUMP,"[('SATAN', 'PROPN'), ('❤', 'EMOJI'), ('TRUMP', 'PROPN')]","{'PROPN': 2, 'PUNCT': 1}",satan ❤ trump,PROPN EMOJI PROPN,0.0,satan trump,2,0,
21,Pompeo's the Foreign Minister of Kuwait now?,0.0,0.0,0.0,0.0,0.0,0.0,Pompeos the Foreign Minister of Kuwait now?,"[('Pompeos', 'PROPN'), ('the', 'DET'), ('Foreign', 'PROPN'), ('Minister', 'PROPN'), ('of', 'ADP'), ('Kuwait', 'PROPN'), ('now', 'ADV'), ('?', 'PUNCT')]","{'PROPN': 4, 'DET': 1, 'ADP': 1, 'ADV': 1, 'PUNCT': 1}",pompeos foreign minister kuwait now,PROPN DET PROPN PROPN ADP PROPN ADV PUNCT,1.0,pompeos foreign minister of kuwait now,0,1,pompeos
22,Thanks god BIDEN is in! Time to get America back on track. End the embarrassment that trump was,0.0,0.0,0.0,0.0,0.0,0.0,Thanks god BIDEN is in! Time to get America back on track. End the embarrassment that trump was,"[('thank', 'NOUN'), ('god', 'PROPN'), ('BIDEN', 'VERB'), ('be', 'AUX'), ('in', 'ADP'), ('!', 'PUNCT'), ('time', 'NOUN'), ('to', 'PART'), ('get', 'VERB'), ('America', 'PROPN'), ('back', 'ADV'), ('on', 'ADP'), ('track', 'NOUN'), ('.', 'PUNCT'), ('end', 'VERB'), ('the', 'DET'), ('embarrassment', 'NOUN'), ('that', 'SCONJ'), ('trump', 'PROPN'), ('be', 'VERB')]","{'NOUN': 4, 'PROPN': 3, 'VERB': 4, 'AUX': 1, 'ADP': 2, 'PUNCT': 2, 'PART': 1, 'ADV': 1, 'DET': 1, 'SCONJ': 1}",thank god biden time to get america back track end embarrassment trump be,NOUN PROPN VERB AUX ADP PUNCT NOUN PART VERB PROPN ADV ADP NOUN PUNCT VERB DET NOUN SCONJ PROPN VERB,1.0,thank god biden be in time to get america back on track end embarrassment trump be,1,2,
23,watching from Philippines,0.0,0.0,0.0,0.0,0.0,0.0,watching from Philippines,"[('watch', 'VERB'), ('from', 'ADP'), ('Philippines', 'PROPN')]","{'VERB': 1, 'ADP': 1, 'PROPN': 1}",watch philippines,VERB ADP PROPN,1.0,watch from philippines,0,0,
24,"google ""rich man's trick"" documentary",0.0,0.0,0.0,0.0,0.0,0.0,"google ""rich mans trick"" documentary","[('google', 'PROPN'), ('""', 'PUNCT'), ('rich', 'ADJ'), ('man', 'NOUN'), ('trick', 'VERB'), ('""', 'PUNCT'), ('documentary', 'NOUN')]","{'PROPN': 1, 'PUNCT': 2, 'ADJ': 1, 'NOUN': 2, 'VERB': 1}",google rich man trick documentary,PROPN PUNCT ADJ NOUN VERB PUNCT NOUN,1.0,google rich man trick documentary,0,2,
25,This is great. Trump 2020,0.0,0.0,0.0,0.0,0.0,0.0,This is great. Trump 2020,"[('this', 'DET'), ('be', 'AUX'), ('great', 'ADJ'), ('.', 'PUNCT'), ('trump', 'NOUN'), ('2020', 'NUM')]","{'DET': 1, 'AUX': 1, 'ADJ': 1, 'PUNCT': 1, 'NOUN': 1, 'NUM': 1}",great trump 2020,DET AUX ADJ PUNCT NOUN NUM,1.0,be great trump 2020,0,1,
26,Biden cheated,1.0,0.0,0.0,1.0,0.0,0.0,Biden cheated,"[('Biden', 'PROPN'), ('cheat', 'VERB')]","{'PROPN': 1, 'VERB': 1}",biden cheat,PROPN VERB,0.0,biden cheat,0,0,
27,Biden is your president,0.0,0.0,0.0,0.0,0.0,0.0,Biden is your president,"[('Biden', 'PROPN'), ('be', 'AUX'), ('your', 'PRON'), ('president', 'NOUN')]","{'PROPN': 1, 'AUX': 1, 'PRON': 1, 'NOUN': 1}",biden president,PROPN AUX PRON NOUN,1.0,biden be president,0,0,
28,You are disgraceful what you did Ethiopian people,0.0,1.0,0.0,0.0,0.0,0.0,You are disgraceful what you did Ethiopian people,"[('you', 'PRON'), ('be', 'AUX'), ('disgraceful', 'ADJ'), ('what', 'PRON'), ('you', 'PRON'), ('do', 'VERB'), ('ethiopian', 'ADJ'), ('people', 'NOUN')]","{'PRON': 3, 'AUX': 1, 'ADJ': 2, 'VERB': 1, 'NOUN': 1}",disgraceful do ethiopian people,PRON AUX ADJ PRON PRON VERB ADJ NOUN,0.0,be disgraceful do ethiopian people,0,0,
29,Biden voters hate america,0.0,1.0,0.0,1.0,0.0,0.0,Biden voters hate america,"[('Biden', 'PROPN'), ('voter', 'NOUN'), ('hate', 'VERB'), ('america', 'PROPN')]","{'PROPN': 2, 'NOUN': 1, 'VERB': 1}",biden voter hate america,PROPN NOUN VERB PROPN,0.0,biden voter hate america,0,0,
30,Bye bye Trump administration lol.,0.0,0.0,0.0,0.0,0.0,0.0,Bye bye Trump administration lol.,"[('Bye', 'PROPN'), ('bye', 'INTJ'), ('Trump', 'PROPN'), ('administration', 'NOUN'), ('lol', 'VERB'), ('.', 'PUNCT')]","{'PROPN': 2, 'INTJ': 1, 'NOUN': 1, 'VERB': 1, 'PUNCT': 1}",bye bye trump administration lol,PROPN INTJ PROPN NOUN VERB PUNCT,1.0,bye bye trump administration lol,0,1,
31,Trump = 1 term embarrassment. The nightmare is finally over. Cue YMCA & inflatable tube man dance,1.0,0.0,0.0,0.0,0.0,0.0,Trump = 1 term embarrassment. The nightmare is finally over. Cue YMCA & inflatable tube man dance,"[('trump', 'VERB'), ('=', 'NOUN'), ('1', 'NUM'), ('term', 'NOUN'), ('embarrassment', 'NOUN'), ('.', 'PUNCT'), ('the', 'DET'), ('nightmare', 'NOUN'), ('be', 'AUX'), ('finally', 'ADV'), ('over', 'ADV'), ('.', 'PUNCT'), ('Cue', 'PROPN'), ('YMCA', 'PROPN'), ('&', 'CCONJ'), ('inflatable', 'ADJ'), ('tube', 'NOUN'), ('man', 'NOUN'), ('dance', 'NOUN')]","{'VERB': 1, 'NOUN': 7, 'NUM': 1, 'PUNCT': 2, 'DET': 1, 'AUX': 1, 'ADV': 2, 'PROPN': 2, 'CCONJ': 1, 'ADJ': 1}",trump 1 term embarrassment nightmare finally over cue ymca inflatable tube man dance,VERB NOUN NUM NOUN NOUN PUNCT DET NOUN AUX ADV ADV PUNCT PROPN PROPN CCONJ ADJ NOUN NOUN NOUN,0.0,trump 1 term embarrassment nightmare be finally over cue ymca inflatable tube man dance,1,4,
32,love biden,0.0,0.0,0.0,0.0,0.0,0.0,love biden,"[('love', 'VERB'), ('biden', 'NOUN')]","{'VERB': 1, 'NOUN': 1}",love biden,VERB NOUN,1.0,love biden,0,0,
33,Pompe crouppt,1.0,0.0,0.0,0.0,0.0,0.0,Pompe crouppt,"[('Pompe', 'PROPN'), ('crouppt', 'VERB')]","{'PROPN': 1, 'VERB': 1}",pompe crouppt,PROPN VERB,0.0,pompe crouppt,0,0,pompe crouppt
34,Trump 2020,0.0,0.0,0.0,0.0,0.0,0.0,Trump 2020,"[('trump', 'NOUN'), ('2020', 'NUM')]","{'NOUN': 1, 'NUM': 1}",trump 2020,NOUN NUM,1.0,trump 2020,0,0,
35,Who built the cages jo? 😂,0.0,0.0,0.0,0.0,0.0,0.0,Who built the cages jo? 😂,"[('who', 'PRON'), ('build', 'VERB'), ('the', 'DET'), ('cage', 'NOUN'), ('jo', 'PROPN'), ('?', 'PUNCT'), ('😂', 'EMOJI')]","{'PRON': 1, 'VERB': 1, 'DET': 1, 'NOUN': 1, 'PROPN': 1, 'PUNCT': 1, 'X': 1}",build cage jo 😂,PRON VERB DET NOUN PROPN PUNCT EMOJI,1.0,build cage jo,0,1,
36,When you can back a pr,0.0,0.0,0.0,0.0,0.0,0.0,When you can back a pr,"[('when', 'ADV'), ('you', 'PRON'), ('can', 'AUX'), ('back', 'VERB'), ('a', 'DET'), ('pr', 'NOUN')]","{'ADV': 1, 'PRON': 1, 'AUX': 1, 'VERB': 1, 'DET': 1, 'NOUN': 1}",when back pr,ADV PRON AUX VERB DET NOUN,1.0,when can back pr,0,0,
37,These people don’t care about your health. It’s the NWO crime syndicate.,0.0,0.0,0.0,0.0,0.0,0.0,These people don’t care about your health. It’s the NWO crime syndicate.,"[('these', 'DET'), ('people', 'NOUN'), ('do', 'AUX'), ('not', 'PART'), ('care', 'VERB'), ('about', 'ADP'), ('your', 'PRON'), ('health', 'NOUN'), ('.', 'PUNCT'), ('it', 'PRON'), ('be', 'AUX'), ('the', 'DET'), ('NWO', 'PROPN'), ('crime', 'NOUN'), ('syndicate', 'NOUN'), ('.', 'PUNCT')]","{'DET': 2, 'NOUN': 4, 'AUX': 1, 'PART': 1, 'VERB': 2, 'ADP': 1, 'PRON': 2, 'PUNCT': 2, 'PROPN': 1}",people n’t care health ’ nwo crime syndicate,DET NOUN AUX PART VERB ADP PRON NOUN PUNCT PRON AUX DET PROPN NOUN NOUN PUNCT,1.0,people do n’t care about health ’ nwo crime syndicate,1,2,nwo
38,Biden will undue this relief. Sad for people of Kuwait,0.0,0.0,0.0,0.0,0.0,0.0,Biden will undue this relief. Sad for people of Kuwait,"[('Biden', 'PROPN'), ('will', 'AUX'), ('undue', 'VERB'), ('this', 'DET'), ('relief', 'NOUN'), ('.', 'PUNCT'), ('sad', 'VERB'), ('for', 'ADP'), ('people', 'NOUN'), ('of', 'ADP'), ('Kuwait', 'PROPN')]","{'PROPN': 2, 'AUX': 1, 'VERB': 2, 'DET': 1, 'NOUN': 2, 'PUNCT': 1, 'ADP': 2}",biden undue relief sad people kuwait,PROPN AUX VERB DET NOUN PUNCT VERB ADP NOUN ADP PROPN,1.0,biden will undue relief sad for people of kuwait,0,1,
39,Excellency addressed like a true imperialist,1.0,0.0,0.0,1.0,0.0,0.0,Excellency addressed like a true imperialist,"[('Excellency', 'PROPN'), ('address', 'VERB'), ('like', 'ADP'), ('a', 'DET'), ('true', 'ADJ'), ('imperialist', 'NOUN')]","{'PROPN': 1, 'VERB': 1, 'ADP': 1, 'DET': 1, 'ADJ': 1, 'NOUN': 1}",excellency address true imperialist,PROPN VERB ADP DET ADJ NOUN,0.0,excellency address like true imperialist,0,0,
40,trump2024,0.0,0.0,0.0,0.0,0.0,0.0,trump2024,"[('trump2024', 'NOUN')]",{'NOUN': 1},trump2024,NOUN,1.0,trump2024,0,0,trump2024
41,TRUMP 2020,0.0,0.0,0.0,0.0,0.0,0.0,TRUMP 2020,"[('TRUMP', 'PROPN'), ('2020', 'NUM')]","{'PROPN': 1, 'NUM': 1}",trump 2020,PROPN NUM,1.0,trump 2020,1,0,
42,Obama built the cages.,0.0,0.0,0.0,0.0,0.0,0.0,Obama built the cages.,"[('Obama', 'PROPN'), ('build', 'VERB'), ('the', 'DET'), ('cage', 'NOUN'), ('.', 'PUNCT')]","{'PROPN': 1, 'VERB': 1, 'DET': 1, 'NOUN': 1, 'PUNCT': 1}",obama build cage,PROPN VERB DET NOUN PUNCT,1.0,obama build cage,0,1,
43,@Daisy Chain Family Hub that's still my favorite line too! lol,0.0,0.0,0.0,0.0,0.0,0.0,@Daisy Chain Family Hub that is still my favorite line too! lol,"[('@Daisy', 'PROPN'), ('Chain', 'PROPN'), ('Family', 'PROPN'), ('Hub', 'PROPN'), ('that', 'DET'), ('be', 'VERB'), ('still', 'ADV'), ('my', 'PRON'), ('favorite', 'ADJ'), ('line', 'NOUN'), ('too', 'ADV'), ('!', 'PUNCT'), ('lol', 'VERB')]","{'PROPN': 4, 'DET': 1, 'VERB': 2, 'ADV': 2, 'PRON': 1, 'ADJ': 1, 'NOUN': 1, 'PUNCT': 1}",@daisy chain family hub be still favorite line too lol,PROPN PROPN PROPN PROPN DET VERB ADV PRON ADJ NOUN ADV PUNCT VERB,1.0,@daisy chain family hub be still favorite line too lol,0,2,@daisy
44,biden is a joke,1.0,0.0,0.0,0.0,0.0,0.0,biden is a joke,"[('biden', 'NOUN'), ('be', 'AUX'), ('a', 'DET'), ('joke', 'NOUN')]","{'NOUN': 2, 'AUX': 1, 'DET': 1}",biden joke,NOUN AUX DET NOUN,0.0,biden be joke,0,0,
45,FOX NEWS OR FAKE NEWS. PLEASE NOT SUPPORT THE DEMORALISED PARTY !,1.0,0.0,0.0,1.0,0.0,0.0,FOX NEWS OR FAKE NEWS. PLEASE NOT SUPPORT THE DEMORALISED PARTY !,"[('FOX', 'PROPN'), ('NEWS', 'PROPN'), ('or', 'CCONJ'), ('fake', 'ADJ'), ('NEWS', 'PROPN'), ('.', 'PUNCT'), ('please', 'AUX'), ('not', 'PART'), ('support', 'VERB'), ('the', 'DET'), ('DEMORALISED', 'PROPN'), ('PARTY', 'PROPN'), ('!', 'PUNCT')]","{'PROPN': 5, 'CCONJ': 1, 'ADJ': 1, 'PUNCT': 2, 'AUX': 1, 'PART': 1, 'VERB': 1, 'DET': 1}",fox news fake news not support demoralised party,PROPN PROPN CCONJ ADJ PROPN PUNCT AUX PART VERB DET PROPN PROPN PUNCT,0.0,fox news or fake news please not support demoralised party,11,2,demoralised
46,Stop killing United States citizens In America The police stop killing United States citizens,0.0,0.0,0.0,0.0,0.0,0.0,Stop killing United States citizens In America The police stop killing United States citizens,"[('stop', 'VERB'), ('kill', 'VERB'), ('United', 'PROPN'), ('States', 'PROPN'), ('citizen', 'NOUN'), ('in', 'ADP'), ('America', 'PROPN'), ('the', 'DET'), ('police', 'NOUN'), ('stop', 'VERB'), ('kill', 'VERB'), ('United', 'PROPN'), ('States', 'PROPN'), ('citizen', 'NOUN')]","{'VERB': 4, 'PROPN': 5, 'NOUN': 3, 'ADP': 1, 'DET': 1}",stop kill united states citizen america police stop kill united states citizen,VERB VERB PROPN PROPN NOUN ADP PROPN DET NOUN VERB VERB PROPN PROPN NOUN,1.0,stop kill united states citizen in america police stop kill united states citizen,0,0,
47,ehhhhhh,0.0,0.0,0.0,0.0,0.0,0.0,ehhhhhh,"[('ehhhhhh', 'ADJ')]",{'ADJ': 1},ehhhhhh,ADJ,1.0,ehhhhhh,0,0,ehhhhhh
48,calm down biden wont get to the white house four more years for Trump,0.0,0.0,0.0,0.0,0.0,0.0,calm down biden wont get to the white house four more years for Trump,"[('calm', 'VERB'), ('down', 'ADP'), ('biden', 'NOUN'), ('will', 'AUX'), ('not', 'PART'), ('get', 'VERB'), ('to', 'ADP'), ('the', 'DET'), ('white', 'PROPN'), ('house', 'PROPN'), ('four', 'NUM'), ('more', 'ADJ'), ('year', 'NOUN'), ('for', 'ADP'), ('Trump', 'PROPN')]","{'VERB': 2, 'ADP': 3, 'NOUN': 2, 'AUX': 1, 'PART': 1, 'DET': 1, 'PROPN': 3, 'NUM': 1, 'ADJ': 1}",calm biden nt get white house four more year trump,VERB ADP NOUN AUX PART VERB ADP DET PROPN PROPN NUM ADJ NOUN ADP PROPN,1.0,calm down biden wo nt get to white house four more year for trump,0,0,
49,Great Barrington Declaration - doctors vs lockdownistas,1.0,0.0,0.0,1.0,0.0,0.0,Great Barrington Declaration - doctors vs lockdownistas,"[('Great', 'PROPN'), ('Barrington', 'PROPN'), ('Declaration', 'PROPN'), ('-', 'PUNCT'), ('doctor', 'NOUN'), ('vs', 'ADP'), ('lockdownista', 'NOUN')]","{'PROPN': 3, 'PUNCT': 1, 'NOUN': 2, 'ADP': 1}",great barrington declaration doctor lockdownista,PROPN PROPN PROPN PUNCT NOUN ADP NOUN,0.0,great barrington declaration doctor vs lockdownista,0,1,barrington lockdownista
50,SATAN ❤ KUWAIT,1.0,0.0,0.0,0.0,0.0,1.0,SATAN ❤ KUWAIT,"[('SATAN', 'PROPN'), ('❤', 'EMOJI'), ('KUWAIT', 'PROPN')]","{'PROPN': 2, 'PUNCT': 1}",satan ❤ kuwait,PROPN EMOJI PROPN,0.0,satan kuwait,2,0,
51,The nightmare is just getting started. Brace yourselves ostrich snowflakes!,0.0,0.0,0.0,0.0,0.0,1.0,The nightmare is just getting started. Brace yourselves ostrich snowflakes!,"[('the', 'DET'), ('nightmare', 'NOUN'), ('be', 'AUX'), ('just', 'ADV'), ('getting', 'AUX'), ('start', 'VERB'), ('.', 'PUNCT'), ('brace', 'NOUN'), ('yourselve', 'VERB'), ('ostrich', 'ADJ'), ('snowflake', 'NOUN'), ('!', 'PUNCT')]","{'DET': 1, 'NOUN': 3, 'AUX': 2, 'ADV': 1, 'VERB': 2, 'PUNCT': 2, 'ADJ': 1}",nightmare just start brace yourselve ostrich snowflake,DET NOUN AUX ADV AUX VERB PUNCT NOUN VERB ADJ NOUN PUNCT,0.0,nightmare be just getting start brace yourselve ostrich snowflake,0,2,yourselve snowflake
52,This just shows Trump will stay our President 2020-2024,0.0,0.0,0.0,0.0,0.0,0.0,This just shows Trump will stay our President 2020-2024,"[('this', 'DET'), ('just', 'ADV'), ('show', 'VERB'), ('Trump', 'PROPN'), ('will', 'AUX'), ('stay', 'VERB'), ('our', 'PRON'), ('President', 'PROPN'), ('2020', 'NUM'), ('-', 'SYM'), ('2024', 'NUM')]","{'DET': 1, 'ADV': 1, 'VERB': 2, 'PROPN': 2, 'AUX': 1, 'PRON': 1, 'NUM': 2, 'SYM': 1}",just show trump stay president 2020 2024,DET ADV VERB PROPN AUX VERB PRON PROPN NUM SYM NUM,1.0,just show trump will stay president 2020 2024,0,1,2024
53,Biden will go back to war you people allowed this it sickening,1.0,1.0,0.0,0.0,0.0,0.0,Biden will go back to war you people allowed this it sickening,"[('Biden', 'PROPN'), ('will', 'AUX'), ('go', 'VERB'), ('back', 'ADV'), ('to', 'ADP'), ('war', 'NOUN'), ('you', 'PRON'), ('people', 'NOUN'), ('allow', 'VERB'), ('this', 'DET'), ('it', 'PRON'), ('sicken', 'VERB')]","{'PROPN': 1, 'AUX': 1, 'VERB': 3, 'ADV': 1, 'ADP': 1, 'NOUN': 2, 'PRON': 2, 'DET': 1}",biden go back war people allow sicken,PROPN AUX VERB ADV ADP NOUN PRON NOUN VERB DET PRON VERB,0.0,biden will go back to war people allow sicken,0,0,
