,message,Direct Harassment,Hate Speech,Sexual Harassment,Trolling,Others,Toxic,cleaned_message,POS,tagCounts,preprocessed_1,POS-SEQ,None,words,uppercase_word_count,punctuation_count,not_in_vocab_words
25,Biden 2020-2028 Kamala 2028-2036,0.0,0.0,0.0,0.0,0.0,0.0,Biden 2020-2028 Kamala 2028-2036,"[('Biden', 'PROPN'), ('2020', 'NUM'), ('-', 'SYM'), ('2028', 'NUM'), ('Kamala', 'PROPN'), ('2028', 'NUM'), ('-', 'SYM'), ('2036', 'NUM')]","{'PROPN': 2, 'NUM': 4, 'SYM': 2}",biden 2020 2028 kamala 2028 2036,PROPN NUM SYM NUM PROPN NUM SYM NUM,1.0,biden 2020 2028 kamala 2028 2036,0,2,2028 kamala 2028 2036
26,media does not call an election. fake news media.,0.0,0.0,0.0,0.0,0.0,0.0,media does not call an election. fake news media.,"[('medium', 'NOUN'), ('do', 'AUX'), ('not', 'PART'), ('call', 'VERB'), ('an', 'DET'), ('election', 'NOUN'), ('.', 'PUNCT'), ('fake', 'ADJ'), ('news', 'NOUN'), ('medium', 'NOUN'), ('.', 'PUNCT')]","{'NOUN': 4, 'AUX': 1, 'PART': 1, 'VERB': 1, 'DET': 1, 'PUNCT': 2, 'ADJ': 1}",medium not call election fake news medium,NOUN AUX PART VERB DET NOUN PUNCT ADJ NOUN NOUN PUNCT,1.0,medium do not call election fake news medium,0,2,
27,"We just see all the RATS coming out, that's the goal",1.0,0.0,0.0,0.0,0.0,0.0,"We just see all the RATS coming out, that is the goal","[('we', 'PRON'), ('just', 'ADV'), ('see', 'VERB'), ('all', 'DET'), ('the', 'DET'), ('RATS', 'PROPN'), ('come', 'VERB'), ('out', 'ADP'), (',', 'PUNCT'), ('that', 'DET'), ('be', 'AUX'), ('the', 'DET'), ('goal', 'NOUN')]","{'PRON': 1, 'ADV': 1, 'VERB': 2, 'DET': 4, 'PROPN': 1, 'ADP': 1, 'PUNCT': 1, 'AUX': 1, 'NOUN': 1}",just see rats come goal,PRON ADV VERB DET DET PROPN VERB ADP PUNCT DET AUX DET NOUN,0.0,just see rats come out be goal,1,1,
28,Corrupted politician,1.0,0.0,0.0,0.0,0.0,0.0,Corrupted politician,"[('corrupted', 'ADJ'), ('politician', 'NOUN')]","{'ADJ': 1, 'NOUN': 1}",corrupted politician,ADJ NOUN,0.0,corrupted politician,0,0,corrupted
29,Trump is the president and will be for next 4 years!,0.0,0.0,0.0,0.0,0.0,0.0,Trump is the president and will be for next 4 years!,"[('Trump', 'PROPN'), ('be', 'AUX'), ('the', 'DET'), ('president', 'NOUN'), ('and', 'CCONJ'), ('will', 'AUX'), ('be', 'VERB'), ('for', 'ADP'), ('next', 'ADJ'), ('4', 'NUM'), ('year', 'NOUN'), ('!', 'PUNCT')]","{'PROPN': 1, 'AUX': 2, 'DET': 1, 'NOUN': 2, 'CCONJ': 1, 'VERB': 1, 'ADP': 1, 'ADJ': 1, 'NUM': 1, 'PUNCT': 1}",trump president be next 4 year,PROPN AUX DET NOUN CCONJ AUX VERB ADP ADJ NUM NOUN PUNCT,1.0,trump be president and will be for next 4 year,0,1,
30,"RAID THE VOTING MACHINES BEFORE THEY ""UPDATE"" THE SOFTWARE EARASING THE RIGGED VOTING SOFTWARE!",0.0,0.0,0.0,1.0,0.0,0.0,"RAID THE VOTING MACHINES BEFORE THEY ""UPDATE"" THE SOFTWARE EARASING THE RIGGED VOTING SOFTWARE!","[('raid', 'NOUN'), ('the', 'DET'), ('voting', 'NOUN'), ('machines', 'NOUN'), ('before', 'ADP'), ('THEY', 'PROPN'), ('""', 'PUNCT'), ('update', 'VERB'), ('""', 'PUNCT'), ('the', 'DET'), ('software', 'NOUN'), ('earase', 'VERB'), ('the', 'DET'), ('rigged', 'NOUN'), ('voting', 'NOUN'), ('SOFTWARE', 'PROPN'), ('!', 'PUNCT')]","{'NOUN': 6, 'DET': 3, 'ADP': 1, 'PROPN': 2, 'PUNCT': 3, 'VERB': 2}",raid voting machine they update software earase rigged voting software,NOUN DET NOUN NOUN ADP PROPN PUNCT VERB PUNCT DET NOUN VERB DET NOUN NOUN PROPN PUNCT,0.0,raid voting machine before they update software earase rigged voting software,14,3,earase
31,State calls the election!! In they did,0.0,0.0,0.0,0.0,0.0,0.0,State calls the election!! In they did,"[('state', 'NOUN'), ('call', 'VERB'), ('the', 'DET'), ('election', 'NOUN'), ('!', 'PUNCT'), ('!', 'PUNCT'), ('in', 'ADP'), ('they', 'PRON'), ('do', 'VERB')]","{'NOUN': 2, 'VERB': 2, 'DET': 1, 'PUNCT': 2, 'ADP': 1, 'PRON': 1}",state call election do,NOUN VERB DET NOUN PUNCT PUNCT ADP PRON VERB,1.0,state call election in do,0,2,
32,Trump WON Georgia BIG!!!! Legally!!!! ...... where ya at Hunter????,0.0,0.0,0.0,0.0,0.0,0.0,Trump WON Georgia BIG!!!! Legally!!!! ...... where ya at Hunter????,"[('Trump', 'PROPN'), ('WON', 'PROPN'), ('Georgia', 'PROPN'), ('BIG', 'PROPN'), ('!', 'PUNCT'), ('!', 'PUNCT'), ('!', 'PUNCT'), ('!', 'PUNCT'), ('legally', 'ADV'), ('!', 'PUNCT'), ('!', 'PUNCT'), ('!', 'PUNCT'), ('!', 'PUNCT'), ('......', 'PUNCT'), ('where', 'ADV'), ('ya', 'PRON'), ('at', 'ADP'), ('Hunter', 'PROPN'), ('?', 'PUNCT'), ('?', 'PUNCT'), ('?', 'PUNCT'), ('?', 'PUNCT')]","{'PROPN': 5, 'PUNCT': 13, 'ADV': 2, 'PRON': 1, 'ADP': 1}",trump won georgia big legally ...... where hunter,PROPN PROPN PROPN PROPN PUNCT PUNCT PUNCT PUNCT ADV PUNCT PUNCT PUNCT PUNCT PUNCT ADV PRON ADP PROPN PUNCT PUNCT PUNCT PUNCT,1.0,trump won georgia big legally ...... where at hunter,2,18,
33,Trump or Bust!,0.0,0.0,0.0,0.0,0.0,0.0,Trump or Bust!,"[('Trump', 'PROPN'), ('or', 'CCONJ'), ('Bust', 'PROPN'), ('!', 'PUNCT')]","{'PROPN': 2, 'CCONJ': 1, 'PUNCT': 1}",trump bust,PROPN CCONJ PROPN PUNCT,1.0,trump or bust,0,1,
34,Trump will be president for 12 more years,0.0,0.0,0.0,0.0,0.0,0.0,Trump will be president for 12 more years,"[('Trump', 'PROPN'), ('will', 'AUX'), ('be', 'VERB'), ('president', 'NOUN'), ('for', 'ADP'), ('12', 'NUM'), ('more', 'ADJ'), ('year', 'NOUN')]","{'PROPN': 1, 'AUX': 1, 'VERB': 1, 'NOUN': 2, 'ADP': 1, 'NUM': 1, 'ADJ': 1}",trump be president 12 more year,PROPN AUX VERB NOUN ADP NUM ADJ NOUN,1.0,trump will be president for 12 more year,0,0,
35,Only about half believe the President Trump lost DNC means does not coun,0.0,0.0,0.0,0.0,0.0,0.0,Only about half believe the President Trump lost DNC means does not coun,"[('only', 'ADV'), ('about', 'ADP'), ('half', 'NOUN'), ('believe', 'VERB'), ('the', 'DET'), ('President', 'PROPN'), ('Trump', 'PROPN'), ('lose', 'VERB'), ('DNC', 'PROPN'), ('mean', 'VERB'), ('do', 'AUX'), ('not', 'PART'), ('coun', 'VERB')]","{'ADV': 1, 'ADP': 1, 'NOUN': 1, 'VERB': 4, 'DET': 1, 'PROPN': 3, 'AUX': 1, 'PART': 1}",only half believe president trump lose dnc mean not coun,ADV ADP NOUN VERB DET PROPN PROPN VERB PROPN VERB AUX PART VERB,1.0,only about half believe president trump lose dnc mean do not coun,1,0,coun
36,Kamala was picked based on gender and race...not on merit,0.0,1.0,0.0,0.0,0.0,0.0,Kamala was picked based on gender and race...not on merit,"[('Kamala', 'PROPN'), ('be', 'AUX'), ('pick', 'VERB'), ('base', 'VERB'), ('on', 'ADP'), ('gender', 'NOUN'), ('and', 'CCONJ'), ('race', 'NOUN'), ('...', 'PUNCT'), ('not', 'PART'), ('on', 'ADP'), ('merit', 'NOUN')]","{'PROPN': 1, 'AUX': 1, 'VERB': 2, 'ADP': 2, 'NOUN': 3, 'CCONJ': 1, 'PUNCT': 1, 'PART': 1}",kamala pick base gender race ... not merit,PROPN AUX VERB VERB ADP NOUN CCONJ NOUN PUNCT PART ADP NOUN,0.0,kamala be pick base on gender and race ... not on merit,0,3,kamala
37,"The will of the American people will be done, one way or another",0.0,0.0,0.0,0.0,0.0,0.0,"The will of the American people will be done, one way or another","[('the', 'DET'), ('will', 'NOUN'), ('of', 'ADP'), ('the', 'DET'), ('american', 'ADJ'), ('people', 'NOUN'), ('will', 'AUX'), ('be', 'AUX'), ('do', 'VERB'), (',', 'PUNCT'), ('one', 'NUM'), ('way', 'NOUN'), ('or', 'CCONJ'), ('another', 'DET')]","{'DET': 3, 'NOUN': 3, 'ADP': 1, 'ADJ': 1, 'AUX': 2, 'VERB': 1, 'PUNCT': 1, 'NUM': 1, 'CCONJ': 1}",will american people do one way,DET NOUN ADP DET ADJ NOUN AUX AUX VERB PUNCT NUM NOUN CCONJ DET,1.0,will of american people will be do one way or,0,1,
38,Amalak...... evil Kamala!! Watch Out America!!,1.0,0.0,0.0,1.0,0.0,0.0,Amalak...... evil Kamala!! Watch Out America!!,"[('Amalak', 'PROPN'), ('......', 'PUNCT'), ('evil', 'PROPN'), ('Kamala', 'PROPN'), ('!', 'PUNCT'), ('!', 'PUNCT'), ('watch', 'VERB'), ('Out', 'PROPN'), ('America', 'PROPN'), ('!', 'PUNCT'), ('!', 'PUNCT')]","{'PROPN': 5, 'PUNCT': 5, 'VERB': 1}",amalak ...... evil kamala watch out america,PROPN PUNCT PROPN PROPN PUNCT PUNCT VERB PROPN PROPN PUNCT PUNCT,0.0,amalak ...... evil kamala watch out america,0,10,amalak kamala
39,The audio is terrible on this!!,0.0,0.0,0.0,0.0,0.0,0.0,The audio is terrible on this!!,"[('the', 'DET'), ('audio', 'NOUN'), ('be', 'AUX'), ('terrible', 'ADJ'), ('on', 'ADP'), ('this', 'DET'), ('!', 'PUNCT'), ('!', 'PUNCT')]","{'DET': 2, 'NOUN': 1, 'AUX': 1, 'ADJ': 1, 'ADP': 1, 'PUNCT': 2}",audio terrible,DET NOUN AUX ADJ ADP DET PUNCT PUNCT,1.0,audio be terrible on,0,2,
40,trump 2020-2036,0.0,0.0,0.0,0.0,0.0,0.0,trump 2020-2036,"[('trump', 'PROPN'), ('2020', 'NUM'), ('-', 'SYM'), ('2036', 'NUM')]","{'PROPN': 1, 'NUM': 2, 'SYM': 1}",trump 2020 2036,PROPN NUM SYM NUM,1.0,trump 2020 2036,0,1,2036
41,"BRAZIL GO TRUMP, GIANT",0.0,0.0,0.0,0.0,0.0,0.0,"BRAZIL GO TRUMP, GIANT","[('BRAZIL', 'PROPN'), ('GO', 'PROPN'), ('TRUMP', 'PROPN'), (',', 'PUNCT'), ('GIANT', 'PROPN')]","{'PROPN': 4, 'PUNCT': 1}",brazil go trump giant,PROPN PROPN PROPN PUNCT PROPN,1.0,brazil go trump giant,4,1,
42,"Liar, Liar pants on fire.",0.0,0.0,0.0,0.0,0.0,0.0,"Liar, Liar pants on fire.","[('Liar', 'PROPN'), (',', 'PUNCT'), ('Liar', 'PROPN'), ('pant', 'NOUN'), ('on', 'ADP'), ('fire', 'NOUN'), ('.', 'PUNCT')]","{'PROPN': 2, 'PUNCT': 2, 'NOUN': 2, 'ADP': 1}",liar liar pant fire,PROPN PUNCT PROPN NOUN ADP NOUN PUNCT,1.0,liar liar pant on fire,0,2,
43,CCPBiden and CCP Harris will never be President!,0.0,1.0,0.0,1.0,0.0,0.0,CCPBiden and CCP Harris will never be President!,"[('CCPBiden', 'PROPN'), ('and', 'CCONJ'), ('CCP', 'PROPN'), ('Harris', 'PROPN'), ('will', 'AUX'), ('never', 'ADV'), ('be', 'VERB'), ('President', 'PROPN'), ('!', 'PUNCT')]","{'PROPN': 4, 'CCONJ': 1, 'AUX': 1, 'ADV': 1, 'VERB': 1, 'PUNCT': 1}",ccpbiden ccp harris never be president,PROPN CCONJ PROPN PROPN AUX ADV VERB PROPN PUNCT,0.0,ccpbiden and ccp harris will never be president,1,1,ccpbiden
44,"Disruption, Confusion, Division...part of the Trump play book that he's been working on for four years.",0.0,0.0,0.0,1.0,0.0,0.0,"Disruption, Confusion, Division...part of the Trump play book that he is been working on for four years.","[('disruption', 'NOUN'), (',', 'PUNCT'), ('confusion', 'NOUN'), (',', 'PUNCT'), ('Division', 'PROPN'), ('...', 'PUNCT'), ('part', 'NOUN'), ('of', 'ADP'), ('the', 'DET'), ('Trump', 'PROPN'), ('play', 'NOUN'), ('book', 'NOUN'), ('that', 'DET'), ('he', 'PRON'), ('be', 'AUX'), ('be', 'AUX'), ('work', 'VERB'), ('on', 'ADP'), ('for', 'ADP'), ('four', 'NUM'), ('year', 'NOUN'), ('.', 'PUNCT')]","{'NOUN': 6, 'PUNCT': 4, 'PROPN': 2, 'ADP': 3, 'DET': 2, 'PRON': 1, 'AUX': 2, 'VERB': 1, 'NUM': 1}",disruption confusion division ... part trump play book work four year,NOUN PUNCT NOUN PUNCT PROPN PUNCT NOUN ADP DET PROPN NOUN NOUN DET PRON AUX AUX VERB ADP ADP NUM NOUN PUNCT,0.0,disruption confusion division ... part of trump play book be be work on for four year,0,6,
45,Are third terms possible?,0.0,0.0,0.0,0.0,0.0,0.0,Are third terms possible?,"[('be', 'AUX'), ('third', 'ADJ'), ('term', 'NOUN'), ('possible', 'ADJ'), ('?', 'PUNCT')]","{'AUX': 1, 'ADJ': 2, 'NOUN': 1, 'PUNCT': 1}",third term possible,AUX ADJ NOUN ADJ PUNCT,1.0,be third term possible,0,1,
46,Trump 2020,0.0,0.0,0.0,0.0,0.0,0.0,Trump 2020,"[('trump', 'NOUN'), ('2020', 'NUM')]","{'NOUN': 1, 'NUM': 1}",trump 2020,NOUN NUM,1.0,trump 2020,0,0,
47,"Trump won , julius from paris",0.0,0.0,0.0,0.0,0.0,0.0,"Trump won , julius from paris","[('Trump', 'PROPN'), ('win', 'VERB'), (',', 'PUNCT'), ('julius', 'PROPN'), ('from', 'ADP'), ('paris', 'PROPN')]","{'PROPN': 3, 'VERB': 1, 'PUNCT': 1, 'ADP': 1}",trump win julius paris,PROPN VERB PUNCT PROPN ADP PROPN,1.0,trump win julius from paris,0,1,
48,Everyone watch Kreb’s interview on 60 minutes!!,0.0,0.0,0.0,0.0,0.0,0.0,Everyone watch Kreb’s interview on 60 minutes!!,"[('everyone', 'PRON'), ('watch', 'VERB'), ('Kreb', 'PROPN'), ('’s', 'NOUN'), ('interview', 'NOUN'), ('on', 'ADP'), ('60', 'NUM'), ('minute', 'NOUN'), ('!', 'PUNCT'), ('!', 'PUNCT')]","{'PRON': 1, 'VERB': 1, 'PROPN': 1, 'NOUN': 3, 'ADP': 1, 'NUM': 1, 'PUNCT': 2}",watch kreb ’s interview 60 minute,PRON VERB PROPN NOUN NOUN ADP NUM NOUN PUNCT PUNCT,1.0,watch kreb ’s interview on 60 minute,0,2,kreb
49,Trump trying to steal election,0.0,0.0,0.0,1.0,0.0,0.0,Trump trying to steal election,"[('Trump', 'PROPN'), ('try', 'VERB'), ('to', 'PART'), ('steal', 'VERB'), ('election', 'NOUN')]","{'PROPN': 1, 'VERB': 2, 'PART': 1, 'NOUN': 1}",trump try to steal election,PROPN VERB PART VERB NOUN,0.0,trump try to steal election,0,0,
50,BRAZIL ROCKS WWG1WGA,0.0,0.0,0.0,0.0,0.0,0.0,BRAZIL ROCKS WWG1WGA,"[('BRAZIL', 'PROPN'), ('rock', 'NOUN'), ('WWG1WGA', 'NOUN')]","{'PROPN': 1, 'NOUN': 2}",brazil rock wwg1wga,PROPN NOUN NOUN,1.0,brazil rock wwg1wga,4,0,wwg1wga
51,Turn on your mic,0.0,0.0,0.0,0.0,0.0,0.0,Turn on your mic,"[('turn', 'VERB'), ('on', 'ADP'), ('your', 'PRON'), ('mic', 'ADJ')]","{'VERB': 1, 'ADP': 1, 'PRON': 1, 'ADJ': 1}",turn mic,VERB ADP PRON ADJ,1.0,turn on mic,0,0,
